num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_entidades_dif_1,num_entidades_dif_2,num_entidades_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pentidades_1,pentidades_2,pentidades_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG
67,34,12,1265405414,233566157,639613551,18886647.970149253,6869592.852941177,53301129.25,5637000,3378999.5,2474363,47287195.833898,14599894.189183597,170102184.39473227,6,6,4,2,2,2,38,19,7,1,1,1,56.71641791044776,55.88235294117647,58.333333333333336,1,1,1,1,1,1,16.250909534922645,Bajo
3,2,2,18500000,147890800,26317000,6166666.666666667,73945400,13158500,7000000,73945400,13158500,3329164.0592396967,90432451.93137251,4466793.53675542,2,2,2,1,1,1,3,2,2,1,0,0,100,100,100,0,0,1,0,0,1,42.963575519370366,Bajo
2,7,0,66175800,125673500,0,33087900,17953357.14285714,0,33087900,10832900,0,29674301.757918417,17908195.990835886,0,2,3,0,1,1,0,2,4,0,0,0,0,100,57.14285714285714,0,0,0,0,0,0,0,42.04139263244911,Bajo
2,5,3,25200000,56950000,47430000,12600000,11390000,15810000,12600000,13800000,15030000,7636753.236814713,5418302.3171469495,13516889.43507344,2,3,1,1,1,1,2,3,1,1,1,0,100,60,33.33333333333333,0,0,0,0,0,0,56.53302903814456,Bajo
4,3,0,20150000,88435000,0,5037500,29478333.333333332,0,4500000,24675000,0,1142639.4882026438,14489941.626291437,0,1,1,0,1,1,0,2,3,0,0,0,0,50,100,0,0,1,0,0,1,0,42.702194520816974,Bajo
0,14,7,0,93335857,79083728,0,6666846.928571428,11297675.42857143,0,5681192,9816000,0,4748429.830893195,5564570.134034999,0,2,2,0,1,1,0,4,3,0,0,1,0,28.57142857142857,42.857142857142854,0,1,0,0,1,0,40.283698214006634,Bajo
1,4,2,1400000,102776504,37066272,1400000,25694126,18533136,1400000,28180764,18533136,0,8491639.024355192,10223593.087127833,1,2,1,1,1,1,1,3,2,1,1,1,100,75,100,0,1,1,0,1,1,43.46853288679301,Bajo
5,2,1,79833800,25578998,18351358,15966760,12789499,18351358,18000000,12789499,18351358,6516362.826608107,16034719.651498806,0,2,1,1,1,1,1,2,1,1,0,0,0,40,50,100,1,1,1,1,1,1,44.71821922004175,Bajo
2,1,0,9901760,9698500,0,4950880,9698500,0,4950880,9698500,0,1725793.0944351354,0,0,1,1,0,1,1,0,2,1,0,0,0,0,100,100,0,0,0,0,0,0,0,38.54205016560618,Bajo
5,3,0,86311891,24592867,0,17262378.2,8197622.333333333,0,6000000,8632867,0,25859484.685491633,2133560.038971562,0,1,2,0,1,1,0,2,2,0,0,1,0,40,66.66666666666666,0,1,0,0,1,0,0,52.385239439311825,Bajo
1,2,1,15720000,26415133,9896160,15720000,13207566.5,9896160,15720000,13207566.5,9896160,0,2873587.9135402315,0,1,1,1,1,1,1,1,1,1,1,0,0,100,50,100,0,1,1,0,1,1,44.19673138475463,Bajo
9,7,3,112560000,237283410,129450636,12506666.666666666,33897630,43150212,7260000,23801170,40390032,7611675.242678185,29456772.833720353,40070464.26023417,3,3,1,1,1,1,1,3,1,0,1,1,11.11111111111111,42.857142857142854,33.33333333333333,0,1,1,1,1,1,57.34266484028682,Bajo
0,3,1,0,85900000,40000000,0,28633333.333333332,40000000,0,32000000,40000000,0,18580186.579615753,0,0,2,1,0,1,1,0,2,1,0,1,0,0,66.66666666666666,100,0,0,1,0,0,1,39.23013831785253,Bajo
1,4,4,62996000,36172000,79000000,62996000,9043000,19750000,62996000,9500000,15000000,0,3402263.364291483,17327723.451163456,1,1,1,1,1,1,1,1,1,0,0,0,100,25,25,1,1,0,1,1,0,41.45232077566453,Bajo
0,6,7,0,131488000,119402400,0,21914666.666666668,17057485.714285713,0,6849000,10560000,0,24492906.782712962,13602502.925984928,0,1,1,0,1,1,0,3,2,0,0,0,0,50,28.57142857142857,0,0,0,0,0,1,58.79862792269291,Bajo
5,7,0,48814000,92414697,0,9762800,13202099.57142857,0,8000000,10816000,0,7794462.598537503,9303973.641840778,0,2,3,0,1,1,0,3,2,0,1,0,0,60,28.57142857142857,0,0,1,0,0,1,0,47.62657324486504,Bajo
1,1,2,32903910,7000000,46500000,32903910,7000000,23250000,32903910,7000000,23250000,0,0,9545941.546018392,1,1,2,1,1,1,1,1,2,0,0,1,100,100,100,0,0,0,0,0,0,41.70205234466387,Bajo
0,6,9,0,68000000,123536900,0,11333333.333333334,13726322.222222222,0,11500000,10000000,0,2338090.3889000244,5203951.525950683,0,4,1,0,3,1,0,2,3,0,1,1,0,33.33333333333333,33.33333333333333,0,1,1,0,1,1,40.90899814607863,Bajo
1,0,2,55000000,0,5431500,55000000,0,2715750,55000000,0,2715750,0,0,2947574.6173761236,1,0,2,1,0,1,1,0,2,1,0,0,100,0,100,0,0,0,0,0,0,60.28817735981511,Medio
4,1,0,159213574,16434000,0,39803393.5,16434000,0,23762543,16434000,0,44059658.70029321,0,0,2,1,0,1,1,0,2,1,0,1,0,0,50,100,0,1,0,0,1,0,0,61.200188715607005,Medio
27,6,3,187736000,147849202,52874006,6953185.185185186,24641533.666666668,17624668.666666668,7200000,14500313,15431922,4649170.09167341,30522210.805860218,13863618.189240836,3,2,1,1,1,1,3,4,1,0,1,1,11.11111111111111,66.66666666666666,33.33333333333333,0,1,1,1,1,1,35.1116994838393,Bajo
2,11,2,47550000,119046000,28800000,23775000,10822363.636363637,14400000,23775000,9600000,14400000,1803122.2920256963,5813312.089897243,0,2,2,1,1,1,1,1,3,1,0,0,0,50,27.27272727272727,50,1,1,0,1,0,0,57.22673469920908,Bajo
1,9,4,15000000,141351344,68351344,15000000,15705704.888888888,17087836,15000000,10000000,12896480,0,12860485.839753611,8382712,1,2,1,1,1,1,1,3,1,0,0,0,100,33.33333333333333,25,0,0,0,0,0,0,46.954859669689625,Bajo
0,7,1,0,43646407,15817680,0,6235201,15817680,0,2800000,15817680,0,6876929.829229053,0,0,2,1,0,1,1,0,4,1,0,1,0,0,57.14285714285714,100,0,0,0,0,0,0,29.836774179180114,Bajo
0,2,3,0,5700000,38884000,0,2850000,12961333.333333334,0,2850000,19067000,0,2333452.377915607,10575324.880746376,0,1,1,0,1,1,0,2,1,0,0,0,0,100,33.33333333333333,0,0,0,0,0,0,67.09278786376434,Medio
0,5,1,0,54838368,14700000,0,10967673.6,14700000,0,8900848,14700000,0,5688478.836402997,0,0,1,1,0,1,1,0,2,1,0,1,0,0,40,100,0,0,0,0,0,0,43.68570641919856,Bajo
0,0,4,0,0,66532733,0,0,16633183.25,0,0,14750000,0,0,12676030.707559401,0,0,3,0,0,1,0,0,3,0,0,0,0,0,75,0,0,0,0,0,0,45.99630577349946,Bajo
0,0,3,0,0,61737528,0,0,20579176,0,0,26254368,0,0,14682613.088753922,0,0,1,0,0,1,0,0,3,0,0,0,0,0,100,0,0,1,0,0,1,40.61485035910151,Bajo
0,0,9,0,0,126194584,0,0,14021620.444444444,0,0,9290000,0,0,8582934.713870412,0,0,2,0,0,1,0,0,3,0,0,0,0,0,33.33333333333333,0,0,0,0,0,0,37.781156814468005,Bajo
1,3,2,2147933,17664000,25800000,2147933,5888000,12900000,2147933,5900000,12900000,0,3082017.521040398,5515432.893255071,1,1,1,1,1,1,1,2,1,1,1,1,100,66.66666666666666,50,0,1,1,0,1,1,50.43745409075781,Bajo
3,2,0,35003656,45093792,0,11667885.333333334,22546896,0,6750000,22546896,0,12382339.296572572,14915563.364138547,0,3,1,0,1,1,0,2,2,0,0,0,0,66.66666666666666,100,0,0,0,0,0,0,0,51.756536805638774,Bajo
3,2,0,3300000,12100000,0,1100000,6050000,0,1100000,6050000,0,0,7000357.1337468205,0,1,2,0,1,1,0,1,2,0,0,0,0,33.33333333333333,100,0,0,0,0,0,0,0,57.88775510204082,Bajo
3,0,0,23820000,0,0,7940000,0,0,7500000,0,0,1220983.2103677758,0,0,3,0,0,2,0,0,3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,34.91306898012733,Bajo
0,3,1,0,3600000,1200000,0,1200000,1200000,0,1200000,1200000,0,0,0,0,3,1,0,1,1,0,3,1,0,0,0,0,100,100,0,0,0,0,0,0,25,Bajo
7,2,0,10500000,3000000,0,1500000,1500000,0,1500000,1500000,0,0,0,0,1,2,0,1,1,0,1,2,0,0,1,0,14.285714285714285,100,0,0,0,0,0,0,0,70.37037037037038,Medio
10,0,0,254210172,0,0,25421017.2,0,0,10882687.5,0,0,32494023.282898977,0,0,1,0,0,2,0,0,4,0,0,1,0,0,40,0,0,0,0,0,0,0,0,50.01830977138447,Bajo
4,2,3,8070720,8000000,13438000,2017680,4000000,4479333.333333333,2250000,4000000,2000000,1047471.7162132191,1414213.562373095,4789288.18649842,2,2,2,2,2,2,2,2,3,0,1,1,50,100,100,0,0,0,0,0,0,33.4259519517349,Bajo
6,3,0,8054000,5770800,0,1342333.3333333333,1923600,0,1327000,1529000,0,334073.44501870644,1378916.4876815418,0,3,3,0,3,2,0,3,3,0,1,0,0,50,100,0,0,0,0,0,0,0,36.99136287534728,Bajo
0,3,3,0,6000000,6000000,0,2000000,2000000,0,2000000,2000000,0,0,0,0,2,2,0,1,1,0,3,3,0,1,0,0,100,100,0,0,0,0,0,0,16.666666666666664,Bajo
20,15,3,236644000,470383584,233400000,11832200,31358905.6,77800000,2940000,17280000,67080000,21574794.0445131,33485799.203912124,19933850.6064433,3,2,1,1,1,1,2,4,1,0,1,0,10,26.666666666666668,33.33333333333333,1,1,0,1,1,1,56.668546872316035,Bajo
0,1,8,0,26000000,60516000,0,26000000,7564500,0,26000000,6500000,0,0,4239463.813806108,0,1,3,0,1,1,0,1,3,0,0,0,0,100,37.5,0,0,0,0,0,0,64.13199378528586,Medio
0,13,6,0,88000000,54000000,0,6769230.769230769,9000000,0,5200000,6000000,0,4743308.3769637365,7099295.739719539,0,3,2,0,1,1,0,5,1,0,1,0,0,38.46153846153847,16.666666666666664,0,0,0,0,0,0,63.47446094380649,Medio
4,14,3,9600000,25540000,25956000,2400000,1824285.7142857143,8652000,2000000,836000,7000000,1131370.8498984762,1723148.7916723148,4133486.6638226863,1,3,1,1,1,1,1,2,1,0,0,0,25,14.285714285714285,33.33333333333333,0,0,0,0,0,0,42.84986290161659,Bajo
2,8,7,90000000,84995000,45096000,45000000,10624375,6442285.714285715,45000000,3000000,2996000,21213203.435596425,20014142.399367075,6395893.206172372,1,3,3,1,1,1,1,3,3,1,0,0,50,37.5,42.857142857142854,0,0,1,0,0,1,69.41117209949803,Medio
4,0,0,71017650,0,0,17754412.5,0,0,3000000,0,0,31128041.15606953,0,0,2,0,0,4,0,0,4,0,0,0,0,0,100,0,0,1,0,0,1,0,0,55.82936796172724,Bajo
4,2,0,57000000,13200000,0,14250000,6600000,0,14500000,6600000,0,5315072.906367324,3394112.549695428,0,3,2,0,2,1,0,4,2,0,1,1,0,100,100,0,0,0,0,0,0,0,20.50673289989529,Bajo
11,17,27,135720000,144929750,183683333,12338181.818181818,8525279.411764706,6803086.407407408,10000000,6000000,7000000,8335042.673174287,8682465.524101198,3889960.897516049,5,4,5,2,1,1,7,8,11,1,1,1,63.63636363636363,47.05882352941176,40.74074074074074,0,0,0,0,0,1,15.833726428247443,Bajo
0,2,1,0,319310586,47902541,0,159655293,47902541,0,159655293,47902541,0,190511046.68229824,0,0,2,1,0,2,1,0,2,1,0,1,1,0,100,100,0,0,0,0,0,0,53.313082863632644,Bajo
3,10,12,19500000,87482050,90300000,6500000,8748205,7525000,2900000,4875000,7937500,8307225.770376053,6962012.769006213,3902585.972496605,3,7,5,2,2,2,3,3,4,1,1,1,100,30,33.33333333333333,0,1,0,0,1,0,58.82843224545593,Bajo
0,1,2,0,2500000,16902000,0,2500000,8451000,0,2500000,8451000,0,0,1200667.3144547576,0,1,1,0,1,1,0,1,2,0,0,0,0,100,100,0,0,0,0,0,0,38.647002881961456,Bajo
0,4,0,0,26000000,0,0,6500000,0,0,4000000,0,0,5686240.7030773265,0,0,3,0,0,1,0,0,3,0,0,0,0,0,75,0,0,1,0,0,1,0,47.02292899408284,Bajo
6,4,1,33906667,73168320,3906000,5651111.166666667,18292080,3906000,3000000,16274160,3906000,4779728.878100532,11434146.475605426,0,2,1,1,1,1,1,1,3,1,0,1,0,16.666666666666664,75,100,0,1,0,1,1,0,47.64925429345716,Bajo
0,10,9,0,337120000,283000000,0,33712000,31444444.444444444,0,28000000,21000000,0,26130052.855327755,24627784.67052564,0,2,2,0,1,1,0,3,3,0,0,0,0,30,33.33333333333333,0,1,0,0,1,0,36.552472632989165,Bajo
1,5,1,3000000,15000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,0,0,0,1,1,1,1,1,1,1,5,1,1,1,0,100,100,100,0,0,0,0,0,0,14.285714285714285,Bajo
0,4,5,0,14292207,24357453,0,3573051.75,4871490.6,0,2675095,3687453,0,2088932.8196311747,2296688.175273648,0,2,5,0,2,2,0,2,5,0,1,1,0,50,100,0,0,0,0,0,0,24.242668274152585,Bajo
