nit_entidad,orden_entidad,num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_contratistas_dif_1,num_contratistas_dif_2,num_contratistas_dif_3,num_HHI,val_HHI,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pnum_ganadoras_1,pnum_ganadoras_2,pnum_ganadoras_3,pnum_ic4k,pval_ic4k,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3
800002468-7,5,80,104,112,409681906,472316679,617903507,5121023.825,4541506.528846154,5516995.598214285,3817300,3000000,3437521,4514431.843764984,3970455.206091438,4989611.658475568,16,38,40,4,4,4,41,49,43,2.5543279766252742,3.044752810201876,1,0,1,51.24999999999999,47.11538461538461,38.392857142857146,20.945945945945947,22.943465165858306,0,0,0,0,0,0
800003124-9,5,125,193,155,1408765429,1534668704,3068772167,11270123.432,7951651.316062177,19798530.10967742,6221544,5400000,7698600,32128015.26685189,9004956.568347,80998514.60607044,7,26,15,3,4,3,70,90,70,1.2197792865475643,4.720994589666604,0,0,0,56.00000000000001,46.63212435233161,45.16129032258064,10.993657505285412,33.63024738522362,0,0,0,1,0,0
800006850,5,2347,2584,2210,52346122311,56831801339,53726991171,22303418.1129101,21993731.168343652,24310855.733484164,5550000,4828200,8530208,143977086.79882765,188646151.4285334,112309864.51334155,63,78,46,4,4,4,849,912,880,0.1155491577509074,1.3391267623277747,0,1,0,36.173838943331916,35.294117647058826,39.81900452488688,1.2743313261447977,17.49242400532325,1,1,1,1,1,1
800014918,6,815,1107,1056,145733657523,263192178952,214643471201,178814303.70920247,237752645.8464318,203260862.87973484,29906310,25722720,40161000,629103536.292897,2717864765.855345,620161627.726309,63,138,137,5,5,4,333,461,362,0.4784132214705467,4.545325909804266,0,0,0,40.85889570552147,41.64408310749774,34.28030303030303,8.09267965077233,35.56783014122301,1,1,1,1,1,1
800025221,5,0,109,17,0,881579649,1091629364,0,8087886.688073395,64213492,0,5685600,5366400,0,8328433.050906586,187099835.7288348,0,9,4,0,3,3,0,53,17,2.8596623834719073,16.986241312319024,0,1,1,0,48.62385321100918,100,19.841269841269842,54.590448751411614,0,0,0,0,0,0
800026173,5,229,497,285,2320604215,3898734987,3794190429,10133642.860262008,7844537.197183099,13312948.87368421,5880444,4400000,12000000,13119092.23979659,10119839.016585516,11774434.362645987,38,51,48,4,4,4,136,180,139,0.6426832048260431,1.1249922763813427,1,1,1,59.388646288209614,36.21730382293762,48.771929824561404,6.330365974282888,12.93006724613546,1,1,1,1,1,1
800029509,4,0,112,79,0,698966262,1120304485,0,6240770.196428572,14181069.430379746,0,5739654.5,6185000,0,4267787.699147737,23749445.96972003,0,24,24,0,3,3,0,58,44,1.8502782270222855,9.882494617182275,0,1,1,0,51.78571428571429,55.69620253164557,15.18324607329843,40.83433899132552,0,0,0,0,0,0
800030924,5,904,846,1733,18100112815,18805394315,24371951720,20022248.689159293,22228598.481087472,14063445.88574726,11350000,12240000,6587000,51239395.74308409,44421806.12369203,48754772.809589095,32,53,103,4,3,4,436,439,622,0.17077327891537333,0.7700369382816704,0,0,0,48.23008849557522,51.89125295508275,35.891517599538375,2.239448751076658,13.255277260897708,1,0,0,1,0,0
800037021,5,263,1053,383,84145280283,85358396921,77948500785,319944031.49429655,81062105.33808167,203520889.7780679,59850991,1892624,50025700,990567814.5766598,483868503.650109,960599550.1766921,25,66,64,4,4,4,68,534,216,0.27440578036244007,5.814660817801148,0,0,0,25.85551330798479,50.712250712250714,56.39686684073107,4.767510300176574,40.78911516733015,1,1,1,1,1,1
800037202,4,0,278,234,0,2130021846,3418441811,0,7661949.086330935,14608725.688034188,0,4405000,7474944.5,0,27346912.85014901,73384397.80231884,0,8,7,0,3,3,0,113,97,1.021575927734375,5.6570466213111965,0,0,0,0,40.647482014388494,41.452991452991455,9.1796875,34.783199986633704,0,1,1,0,1,1
800037244,5,86,86,99,1462536524,914658420,5901036670,17006238.651162792,10635563.023255814,59606431.01010101,9783000,6000000,10150000,30654259.0620218,18318193.032584876,186614071.67095077,9,32,29,4,4,4,67,47,40,1.8858675671627563,17.982220309057855,1,1,1,77.90697674418605,54.65116279069767,40.4040404040404,16.605166051660518,64.90693494143156,0,1,1,0,1,1
800037979,5,708,1345,993,9403660213,5233954106,9734521306,13282005.950564971,3891415.6921933084,9803143.30916415,2000000,2540000,5600000,81114969.6424979,5635071.604347088,21504137.773886077,18,59,67,3,4,4,124,252,303,0.5359924363954923,1.501012920280361,0,0,1,17.51412429378531,18.736059479553905,30.513595166163142,4.530531845042679,16.753949804921948,1,1,1,1,1,1
800044320,5,0,75,143,0,1091265917,1367377252,0,14550212.226666667,9562078.685314685,0,6948000,5500000,0,24247624.30834394,12182409.815588558,0,9,32,0,1,4,0,47,92,1.3340627893274979,3.0810106229106724,0,0,1,0,62.66666666666667,64.33566433566433,13.302752293577983,26.72092104635132,0,1,1,0,1,1
800044967,5,37,587,4309,2394582600,4974399186,19886623250,64718448.64864865,8474274.592844974,4615136.516593177,42000000,2600000,2137385,75564340.54738201,26782409.011642445,15234054.866983179,4,27,85,4,3,5,33,294,663,0.24935391082179703,1.0734816109947083,0,0,0,89.1891891891892,50.08517887563884,15.386400556973776,1.905534157713359,15.93228030441584,0,1,1,0,1,1
800058016,5,5766,7506,6561,145343882121,216302174439,236452026681,25207055.518730488,28817236.136290967,36039022.508916326,11427761,9626911,12120828,154231688.71722817,203870549.06956044,351470286.7066665,70,119,119,3,4,4,2800,2761,2664,0.03644127857515971,0.7688532024053447,0,0,0,48.56052722858134,36.78390620836664,40.603566529492454,0.9227045832703071,12.452404134689345,1,1,1,1,1,1
800064543,6,0,551,392,0,5219615460,4591457143,0,9472986.315789474,11712900.875,0,4335000,7572500,0,17575604.923365057,15804702.38006761,0,31,32,0,4,4,0,176,149,0.7737990146741802,2.321313418693963,0,1,0,0,31.941923774954628,38.01020408163265,7.104984093319194,22.592274980436205,0,1,0,0,1,1
800065395,5,0,214,281,0,1155119034,1613867947,0,5397752.495327103,5743302.302491103,0,2920254.5,3014364,0,6299779.503191992,8993744.111527706,0,42,53,0,4,4,0,78,103,1.8067544128150188,2.6544811525932412,0,1,1,0,36.44859813084112,36.654804270462634,17.575757575757574,20.61747082659902,0,0,1,0,0,1
800068653,5,101,185,184,878408206,848702109,447640702,8697110.95049505,4587578.967567568,2432829.902173913,3532200,1366715,1215355,19060048.532372404,13871490.154753275,2624338.514697908,11,44,36,4,4,3,46,68,48,6.351290176550476,4.440320361744417,1,1,0,45.54455445544555,36.75675675675676,26.08695652173913,33.61702127659574,37.092972238853775,0,1,1,0,1,1
800080586,4,317,442,535,3700797314,4917393317,6455480504,11674439.476340694,11125324.246606335,12066318.69906542,4409211,6500000,5600000,21872894.927725174,18771719.110427786,18213935.585446104,34,37,28,3,3,3,147,204,173,0.6557431875568848,0.7850965771558864,1,1,1,46.37223974763407,46.15384615384615,32.33644859813084,8.268933539412673,9.77974102524428,0,0,0,0,0,0
800084206,5,800,3372,2536,27359400676,49176664634,59467976616,34199250.845,14583826.9970344,23449517.59305994,6918000,5600000,9792000,191287966.69577938,85098577.42250179,123948242.69527122,34,66,73,4,5,4,380,1126,983,0.09869044482348971,2.427088781047198,0,1,0,47.5,33.392645314353494,38.761829652996845,1.3714967203339294,25.69382278801201,1,1,1,1,1,1
800084362,5,1334,2576,3046,71136615094,53453262922,83772621678,53325798.421289355,20750490.264751554,27502502.192383453,12591105,7238148,8868000,480884496.06918657,66712561.04234067,92366913.91902526,13,34,74,4,4,4,607,793,971,0.1232796240626615,1.3770093242559782,1,1,0,45.502248875562216,30.784161490683232,31.877872619829283,1.5094882116158712,18.52246375747975,1,1,1,1,1,1
800099124,5,4,0,140,457511040,0,1233448394,114377760,0,8810345.67142857,108814530,0,3838342.5,81386042.5984161,0,24607788.27345362,1,0,18,2,0,4,3,0,77,1.7843364197530862,11.039395255346163,1,0,1,75,0,55.00000000000001,14.583333333333334,50.399738684683314,0,0,0,0,0,1
800099860,6,1901,1940,1557,21124121447,38840742240,46257321886,11112110.177275117,20021001.154639177,29709262.611432243,2555000,4000000,8400000,46261145.96779304,86185592.3410073,103184595.2803809,30,79,66,5,3,4,445,502,396,0.31149269534460433,1.770320482720104,0,0,0,23.40873224618622,25.87628865979382,25.43352601156069,5.2797332345313075,20.03486926690521,1,1,1,1,1,1
800101022,4,1,292,716,3600000,1788441255,4182715382,3600000,6124798.818493151,5841781.259776536,3600000,2850000,3000000,0,16899734.491697963,12929741.87029486,1,32,47,1,4,4,1,146,246,0.5941570464432594,1.0269883893138312,1,1,1,100,50,34.357541899441344,5.550049554013875,13.474580906181266,0,0,1,0,0,1
800114286,5,1,76,85,20000000,1091198520,1393852776,20000000,14357875.263157895,16398267.952941176,20000000,10448880,8500000,0,14861288.986435499,30731189.063935407,1,16,15,1,3,4,1,50,53,2.049992379210486,5.650997885992041,1,1,1,100,65.78947368421053,62.35294117647059,17.28395061728395,32.73146547175535,0,0,0,0,0,0
800116719,5,210,1048,614,1882276868,9490062810,9664315167,8963223.180952381,9055403.44465649,15739926.98208469,7086008,4307764.5,7821158,8215094.695067566,15958078.772890778,34370172.516513184,2,74,73,2,5,5,139,277,225,0.48156822996566584,2.008582796042691,1,0,0,66.19047619047619,26.431297709923662,36.644951140065146,5.128205128205128,22.84222452383921,1,1,1,1,1,1
800119945,5,235,548,676,1944271216,4109231049,15551555729,8273494.536170213,7498596.804744526,23005259.95414201,4600000,3600000,4783000,12844762.05131643,9686598.899407312,290997334.1199446,9,54,54,2,4,4,117,212,225,0.49284040210815994,12.63907736256849,1,1,0,49.787234042553195,38.68613138686132,33.28402366863905,4.866346812885538,52.87071282184127,0,0,0,0,0,1
800125276,6,114,90,31,1509530685,9085702180,1752381000,13241497.236842105,100952246.44444445,56528419.35483871,8750000,7790000,5000000,11837578.9511921,808524905.059971,188300090.21803012,14,29,15,4,4,4,57,70,22,1.8198279764599365,47.240679023493165,1,0,0,50,77.77777777777779,70.96774193548387,17.02127659574468,80.51495968933912,0,0,0,1,1,0
800125697,5,377,471,442,4746588846,1689897404,2939666211,12590421.342175066,3587892.577494692,6650828.531674208,1603320,2696400,3910149,138249897.108342,3673597.642604389,12088961.351312662,7,19,37,2,3,4,124,170,156,0.7189471786551289,8.965981587485098,1,1,1,32.891246684350136,36.09341825902335,35.294117647058826,6.434108527131782,45.816353870826845,0,1,0,0,1,0
800133887,5,0,27,235,0,152398018,1604526084,0,5644371.037037037,6827770.570212766,0,2784600,3400000,0,7716297.341927421,22141821.912955914,0,13,36,0,3,4,0,26,90,1.5441990559990675,5.25636424200038,0,1,1,0,96.29629629629629,38.297872340425535,12.977099236641221,34.49854414940458,0,0,1,0,0,1
800134339,7,105,357,215,662401254,2631991757,1270309405,6308583.371428572,7372525.929971989,5908415.837209302,3180000,2277000,3750000,14784418.521448163,56494845.635950185,11745702.272692425,29,42,16,4,4,4,57,128,87,1.1352107329014747,7.1932899548195675,1,1,1,54.285714285714285,35.85434173669468,40.46511627906977,11.964549483013293,41.310381075233714,0,0,1,0,0,1
800138011,5,1,203,154,6743333,5066503176,5892603374,6743333,24958143.724137932,38263658.27272727,6743333,9974244,9059459,0,59056574.3569733,134388530.14740148,1,35,26,1,4,4,1,155,112,0.9909178864579756,17.687265246530675,1,1,1,100,76.35467980295566,72.72727272727273,11.452513966480446,53.87254064236582,0,0,1,0,0,1
800138311,5,0,130,156,0,6352225660,9002805285,0,48863274.307692304,57710290.288461536,0,14818400,25000000,0,137719701.70580614,86267148.90798089,0,30,23,0,4,4,0,69,76,2.0636705951391265,21.716356165910643,0,1,0,0,53.07692307692308,48.717948717948715,17.832167832167833,61.85661681842999,0,1,0,0,1,0
800138968,5,295,568,714,2240471999,4198558471,5250058650,7594820.335593221,7391828.294014084,7353023.319327731,1904836,2066542,1728485.5,20676916.651860707,24578168.77414607,35698679.496331856,38,51,41,4,4,4,58,106,100,5.105051249955266,3.039669995948367,0,0,0,19.661016949152543,18.661971830985916,14.005602240896359,31.261889663918836,28.641195619526595,1,1,1,1,1,1
800139366,6,0,248,1341,0,2664679950,48460221322,0,10744677.217741935,36137376.07904549,0,4600000,3750000,0,40137061.529247776,313371005.3556897,0,39,74,0,4,5,0,139,338,0.4107455243154143,5.47753491664018,0,0,0,0,56.048387096774185,25.205070842654738,3.398363750786658,37.735231795089774,0,0,0,0,0,0
800139704,5,59,138,103,648364084,1351288957,901192547,10989221.762711864,9791948.963768115,8749442.203883495,9000000,9412500,6240000,12271372.301334377,6425261.062660579,7993161.514916067,8,26,21,2,4,4,49,75,49,1.3844444444444446,1.9629153840334295,1,1,0,83.05084745762711,54.347826086956516,47.57281553398058,12.666666666666668,18.103974067853763,1,1,1,1,1,1
800143438,3,138,291,218,1145601020,5957805697,3581853581,8301456.666666667,20473559.09621993,16430521.013761468,6901418,8400000,8920000,7899055.220386076,65749048.858471245,21148514.516272675,17,35,32,2,4,4,81,151,111,0.730753519393993,2.3689370230084887,1,1,1,58.69565217391305,51.890034364261176,50.917431192660544,7.727975270479134,22.818514533112218,0,1,1,0,1,1
800150497,5,5,135,413,72013332,4457936336,7908789695,14402666.4,33021750.63703704,19149611.85230024,15000000,9600000,3600000,5675298.223940906,61364578.50718664,216840109.62945837,1,47,44,2,4,4,5,76,151,0.8282947853071688,15.415490221001637,0,1,0,100,56.2962962962963,36.56174334140436,7.233273056057866,58.5944863004362,0,0,0,0,0,1
800152970,5,206,408,251,3532184405,6149303319,6227546187,17146526.237864077,15071821.860294119,24810940.984063745,8400000,7999999,9048000,25071958.797412354,24942836.29750796,42290236.902251676,17,69,46,5,4,4,104,185,133,0.6472651942931604,1.8364219308791556,0,0,0,50.48543689320388,45.34313725490196,52.98804780876494,7.167630057803468,18.89177948085147,1,1,0,1,1,0
800154347,5,0,135,2705,0,2417587660,11162826464,0,17908056.740740743,4126738.0643253233,0,4774000,1792000,0,30701980.84657454,11608920.011669774,0,39,51,0,5,4,0,55,301,0.5010414600277723,2.28494403305672,0,0,0,0,40.74074074074074,11.127541589648798,4.401408450704225,25.274773358597763,0,1,1,0,1,1
800155000,4,0,439,250,0,4022687301,10499398141,0,9163296.813211845,41997592.564,0,4000000,7204515,0,16461080.062453305,351851785.429324,0,81,48,0,4,4,0,138,103,2.2242538248781916,16.294586070581914,0,1,1,0,31.435079726651484,41.199999999999996,23.222060957910013,61.75609288224157,0,0,0,0,0,0
800155633,6,36,43,42,309636718,345514808,711694621,8601019.944444444,8035228.0930232555,16945110.023809522,5800000,4756000,10772500,7103532.556115053,8095766.49807636,20961272.274970274,3,7,6,1,1,1,26,22,28,3.2579741820913877,5.379675785745638,1,1,1,72.22222222222221,51.162790697674424,66.66666666666666,23.140495867768596,37.893675315017006,1,1,1,0,1,1
800160400,5,115,211,173,4415409745,1197571808,871384991,38394867.347826086,5675695.772511848,5036907.462427746,7250928,2720000,3708000,155113752.03154778,17916787.67678609,4404616.7849032525,11,13,8,2,1,2,40,71,64,1.5562186497242982,16.60158496991742,0,0,0,34.78260869565217,33.649289099526065,36.99421965317919,14.228456913827653,62.65574366333971,1,1,1,1,1,1
800165050,5,49,82,93,718086924,672472215,1052619465,14654835.18367347,8200880.6707317075,11318488.870967742,9440536,4500000,6000000,22179871.48094589,12959726.167795643,21499453.015031822,11,10,3,3,3,2,47,59,57,1.2276785714285714,2.4492558435597744,1,1,1,95.91836734693877,71.95121951219512,61.29032258064516,11.607142857142858,23.149005933255957,0,1,0,0,1,0
800174123,5,111,15,1,3727160893,595399719,512000203,33578026.06306306,39693314.6,512000203,8400000,5600000,512000203,101981447.39499973,104963484.0064542,0,36,9,1,3,2,1,72,15,1,1.8414036828073654,11.517779659375941,0,0,0,64.86486486486487,100,100,14.960629921259844,59.809177392672844,0,0,0,0,0,0
800174375,6,191,1211,883,5289853947,12814021630,11263092378,27695570.40314136,10581355.598678777,12755484.006795017,13500000,2450000,7020000,61444477.18285741,42601528.51320096,19138152.076181874,23,70,36,4,4,4,105,288,313,0.39417952683517754,1.7952774982593573,1,1,1,54.973821989528794,23.781998348472335,35.44733861834655,4.070021881838075,19.14798101260093,1,1,1,1,1,1
800174995,5,683,1904,1643,22941123387,20840754057,20788434250,33588760.44948755,10945774.18960084,12652729.306147292,15073000,2235622.5,2474626,102341097.62605827,56061154.87874265,55128401.58426839,20,98,96,3,4,4,374,288,249,3.33257325531356,2.4514777794362588,1,1,1,54.758418740849194,15.126050420168067,15.155203895313452,31.678486997635936,24.16596193765928,1,1,1,1,1,1
800182136,4,0,84,135,0,1201083071,2608424891,0,14298607.988095239,19321665.85925926,0,5640000,8000000,0,23043718.58674283,37271149.46534437,0,16,13,0,3,2,0,41,63,2.445737161443673,15.450955021468246,0,1,1,0,48.80952380952381,46.666666666666664,23.28767123287671,52.28040841144198,0,0,0,0,0,0
800191643,5,247,871,697,11782222444,20718536736,22908460298,47701305.44129555,23787068.58323766,32867231.417503588,13200000,7000000,6000000,284701548.3267173,63150458.1384868,97952267.9387695,24,57,54,1,4,4,210,328,289,0.34262990536469123,3.7346613452133175,1,1,0,85.02024291497976,37.65786452353617,41.46341463414634,3.746556473829201,34.51017761510292,0,1,1,1,1,1
800193392,5,52,129,132,430785675,954661799,1486361958,8284339.903846154,7400479.062015504,11260317.863636363,5450000,3200000,3686013,11781203.972048538,17907450.343859706,27291438.46481539,10,23,22,2,3,3,41,70,81,1.113617572905715,5.020841846105332,1,0,0,78.84615384615384,54.263565891472865,61.36363636363637,10.223642172523961,36.913115688938234,1,0,1,1,0,1
800193490,5,78,125,136,1096176431,716457652,1226004660,14053543.987179488,5731661.216,9014740.147058824,6600000,4000000,5500000,22811609.977403894,7078785.218812549,16925219.789554983,16,23,32,3,3,4,59,61,65,1.311335613160345,2.006329679244194,0,0,0,75.64102564102564,48.8,47.794117647058826,11.504424778761061,19.69104900601868,1,1,1,1,1,1
800193912,5,42,534,245,589267700,4389178678,8674757705,14030183.333333334,8219435.72659176,35407174.30612245,2823000,4110800,6721000,53611466.84788081,17436709.05551465,199786994.48491138,1,19,14,1,3,2,42,332,187,0.3775734710499806,11.801893550989323,1,1,1,100,62.172284644194754,76.32653061224491,4.38489646772229,44.822882158627436,0,0,1,0,0,1
800194328,6,196,194,172,3457353105,1802356990,2070162481,17639556.658163264,9290499.948453609,12035828.377906976,8131250,6025000,8937500,68252745.28913975,12349306.917335844,16047064.701883892,7,23,28,4,4,4,72,68,68,1.6273856714074038,4.062704498076009,1,0,0,36.734693877551024,35.051546391752574,39.53488372093023,13.87900355871886,34.588219272749335,1,0,0,1,0,1
800194627,5,69,147,170,1217235848,2524630677,3020524990,17641099.246376812,17174358.346938774,17767794.05882353,10126311,12240000,13740000,33910976.13902052,31723103.423852567,31910494.74334181,1,5,1,4,4,1,57,86,89,1.0993583720368332,3.089140718180188,1,0,0,82.6086956521739,58.50340136054422,52.352941176470594,9.067357512953366,26.203747536199845,1,1,1,1,1,1
800196939,5,5263,2117,0,25463005871,51116475069,0,4838116.258977769,24145713.30609353,0,2680000,11440000,0,35479989.01200497,71529381.69533883,0,3,39,0,2,4,0,1432,1595,0,0.06942883791981551,0.44446373490349717,0,0,0,27.208816264487933,75.34246575342466,0,0.6910569105691057,8.638335256128206,1,1,0,1,1,0
800197177,5,899,203,0,61140959098,12254457276,0,68009965.62625138,60366784.61083744,0,10909344,8936640,0,271331790.2301543,502656706.8887324,0,64,30,0,4,3,0,217,83,0,1.4927487063613096,5.850209133182391,0,0,0,24.137931034482758,40.88669950738916,0,16.33393829401089,38.35772337953928,1,1,0,1,1,0
800201197,4,0,204,255,0,9722627133,15797327042,0,47659936.926470585,61950302.125490196,0,6850000,9000000,0,134001335.65354349,183730090.5726412,0,14,18,0,3,3,0,112,136,0.9374362187382821,17.545720627248137,0,1,0,0,54.90196078431373,53.333333333333336,11.11111111111111,62.77671056985744,0,0,0,0,0,0
800202398,5,19,83,63,181671242,368597785,601518003,9561644.315789474,4440937.168674699,9547904.80952381,9100000,1646589,3000000,7891201.343682194,10696836.713454966,20984987.234875944,5,19,8,2,3,2,16,55,34,2.391184573002755,4.467597555133325,1,1,1,84.21052631578947,66.26506024096386,53.96825396825397,20.606060606060606,35.201153115954085,1,0,0,1,0,0
800204153,5,880,1721,1160,12782871696,31085261419,41040548362,14525990.563636364,18062325.05461941,35379783.070689656,3591952,2582784,7700040,68215237.50541,88315613.3372357,169383740.64118627,15,66,65,4,4,4,327,559,445,0.21182568887180253,3.4075365575587795,0,0,0,37.15909090909091,32.48111563044741,38.362068965517246,2.2600372241425153,30.605888661737556,1,1,1,1,1,1
800209488-1,1,16,330,0,287590186,23905841975,0,17974386.625,72441945.37878788,0,8205000,4353350,0,38276551.26197507,190704657.79005355,0,2,52,0,2,4,0,15,299,0,0.37254836446256134,3.1244068974079244,1,1,0,93.75,90.6060606060606,0,4.0462427745664735,24.645659120708828,0,0,0,0,0,0
800209710,1,2250,0,0,8998938632,0,0,3999528.280888889,0,0,1914144,0,0,13514401.550316533,0,0,1,0,0,4,0,0,461,0,0,0.31759012345679016,1.0738340405686126,1,0,0,20.48888888888889,0,0,2.4,14.083102650499328,0,0,0,0,0,0
800212070,5,7,73,5,31135000,977097004,48000000,4447857.142857143,13384890.465753425,9600000,3000000,7062000,8000000,3917613.917874477,21759548.975465465,8322259.3086252725,2,18,3,1,3,2,7,50,4,2.3391003460207616,5.287945924005745,0,1,1,100,68.4931506849315,80,18.823529411764707,32.4904379625293,0,0,0,0,0,0
800213942,5,98,330,495,672108000,1532288032,2286415805,6858244.897959184,4643297.066666666,4619021.828282828,4275000,2000000,2286000,7269769.237338209,11308862.153317394,8059910.110218754,1,14,29,2,4,4,55,97,130,1.0884709876057748,1.5453518331524934,1,0,0,56.12244897959183,29.393939393939394,26.262626262626267,9.317443120260021,15.453240197736656,0,0,1,0,0,1
