orden_entidad,num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_contratistas_dif_1,num_contratistas_dif_2,num_contratistas_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pnum_ganadoras_1,pnum_ganadoras_2,pnum_ganadoras_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG
5,80,104,112,409681906,472316679,617903507,5121023.825,4541506.528846154,5516995.598214285,3817300,3000000,3437521,4514431.843764984,3970455.206091438,4989611.658475568,16,38,40,4,4,4,41,49,43,1,0,1,51.24999999999999,47.11538461538461,38.392857142857146,0,0,0,0,0,0,12.37212297465785,Bajo
5,125,193,155,1408765429,1534668704,3068772167,11270123.432,7951651.316062177,19798530.10967742,6221544,5400000,7698600,32128015.26685189,9004956.568347,80998514.60607044,7,26,15,3,4,3,70,90,70,0,0,0,56.00000000000001,46.63212435233161,45.16129032258064,0,0,0,1,0,0,12.6411696916808,Bajo
5,2347,2584,2210,52346122311,56831801339,53726991171,22303418.1129101,21993731.168343652,24310855.733484164,5550000,4828200,8530208,143977086.79882765,188646151.4285334,112309864.51334155,63,78,46,4,4,4,849,912,880,0,1,0,36.173838943331916,35.294117647058826,39.81900452488688,1,1,1,1,1,1,5.055357812886682,Bajo
6,815,1107,1056,145733657523,263192178952,214643471201,178814303.70920247,237752645.8464318,203260862.87973484,29906310,25722720,40161000,629103536.292897,2717864765.855345,620161627.726309,63,138,137,5,5,4,333,461,362,0,0,0,40.85889570552147,41.64408310749774,34.28030303030303,1,1,1,1,1,1,12.171062230817538,Bajo
5,0,109,17,0,881579649,1091629364,0,8087886.688073395,64213492,0,5685600,5366400,0,8328433.050906586,187099835.7288348,0,9,4,0,3,3,0,53,17,0,1,1,0,48.62385321100918,100,0,0,0,0,0,0,23.569405572118097,Medio
5,229,497,285,2320604215,3898734987,3794190429,10133642.860262008,7844537.197183099,13312948.87368421,5880444,4400000,12000000,13119092.23979659,10119839.016585516,11774434.362645987,38,51,48,4,4,4,136,180,139,1,1,1,59.388646288209614,36.21730382293762,48.771929824561404,1,1,1,1,1,1,5.257027175406433,Bajo
4,0,112,79,0,698966262,1120304485,0,6240770.196428572,14181069.430379746,0,5739654.5,6185000,0,4267787.699147737,23749445.96972003,0,24,24,0,3,3,0,58,44,0,1,1,0,51.78571428571429,55.69620253164557,0,0,0,0,0,0,16.937589477207126,Medio
5,904,846,1733,18100112815,18805394315,24371951720,20022248.689159293,22228598.481087472,14063445.88574726,11350000,12240000,6587000,51239395.74308409,44421806.12369203,48754772.809589095,32,53,103,4,3,4,436,439,622,0,0,0,48.23008849557522,51.89125295508275,35.891517599538375,1,0,0,1,0,0,4.108884057292853,Bajo
5,263,1053,383,84145280283,85358396921,77948500785,319944031.49429655,81062105.33808167,203520889.7780679,59850991,1892624,50025700,990567814.5766598,483868503.650109,960599550.1766921,25,66,64,4,4,4,68,534,216,0,0,0,25.85551330798479,50.712250712250714,56.39686684073107,1,1,1,1,1,1,12.911423016417578,Bajo
4,0,278,234,0,2130021846,3418441811,0,7661949.086330935,14608725.688034188,0,4405000,7474944.5,0,27346912.85014901,73384397.80231884,0,8,7,0,3,3,0,113,97,0,0,0,0,40.647482014388494,41.452991452991455,0,1,1,0,1,1,12.660377508919819,Bajo
