nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion,ine_coberturaNeta_m,ine_tasaDesercion_m,ine_tasaRepitencia_m,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaCritica_m,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
800002468-7,5,296,1499902092,5067236.797297297,3401698.5,4528211.137279544,54,4,83,2.027027027027027,3.0292602592089724,28.040540540540544,12.37212297465785,Bajo,0,9408.666666666666,163.16666666666666,140.5,852,6957,5086.6,4989.2,7944886666.666667,-25731666.666666668,64.944,78.685625,2,5.4366666666666665,29.97833333333333,86696.11833333333,742797474.85
800003124-9,5,473,6012206300,12710795.5602537,6221544,49709695.41684962,33,4,154,0,0,32.55813953488372,12.6411696916808,Bajo,0.46212850580432385,7789,307.3333333333333,100.83333333333333,1094,7156,4722.8,4956.6,9594088333.333334,305768333.3333333,63.856,72.815,2.5,6.128333333333333,34.01166666666666,73265.33333333333,458181948
800006850,5,7141,162904914821,22812619.355972555,5866666,153586392.9875782,101,4,1694,0.014003640946646129,0.0030250775462575138,23.72216776361854,5.055357812886682,Bajo,31.090256121075313,9179,317.3333333333333,246.16666666666666,176,6867,5053.8,5224.6,382057966666.6667,15659276666.666666,77.706,56.99333333333333,1.5,69.01,15.216666666666667,573.4399999999999,0
800014918,6,2978,623569307676,209391977.0570853,30761900,1728983100.6273499,178,5,781,0,0,26.225654801880456,12.171062230817538,Bajo,18.296879418390603,9488.666666666666,382.6666666666667,251.16666666666666,0,0,5232.8,5258,862046800000,79381975000,76.61,47.406875,3.5,62.47833333333333,28.166666666666664,5066.608333333334,22700537273.895
800025221,5,126,1973209013,15660388.992063493,5642800,70081038.0970316,11,3,58,96.82539682539682,49.33666137678442,46.03174603174603,23.569405572118097,Bajo,0,7937,292.8333333333333,8,854,7411,4870.2,5003.8,8804480000,816053333.3333334,65.99799999999999,72.476875,3,4.66,27.043333333333333,68258.23833333333,197073579.705
800026173,5,1011,10013529631,9904579.259149358,5880444,11554526.118799191,74,4,316,50.247279920870426,53.8775212618133,31.25618199802176,5.257027175406433,Bajo,9.424379526263783,9549.666666666666,395.5,112,1310,6929,4669.2,4792.4,17608340000,3729890000,66.094,59.03375,3.75,6.976666666666667,53.695,76725.19833333333,521750000
800029509,4,191,1819270747,9524977.732984293,6000000,16048818.254945919,36,3,83,100,100,43.455497382198956,16.937589477207126,Bajo,0,10647,227.5,299.8333333333333,863,7415,4784.6,5069.8,10844775000,1040501666.6666666,65.608,67.185,2,3.605,26.793333333333333,80876.93166666667,98612610.525
800030924,5,3483,61277458850,17593298.550100487,8586000,48529070.650802284,110,4,1055,0,0,30.289979902383003,4.108884057292853,Bajo,0.47870609001845604,9109.666666666666,336,147.33333333333334,358,6551,4738.8,5007.6,266426740000,16213878333.333334,82.368,0,1.6666666666666667,56.82333333333333,25.18,56.255,0
800037021,5,1699,247452177989,145645778.68687463,12544000,715609335.6577617,89,4,667,0,0,39.2583872866392,12.911423016417578,Bajo,11.64589345342471,10579.333333333334,447.3333333333333,288,498,6801,4934.2,5043.4,64096763333.333336,5301948333.333333,76.62,68.865625,9.2,9.683333333333334,60.781666666666666,35637.63166666667,58359703637.02333
800037202,4,512,5548463657,10836843.080078125,5561545,53599491.40144864,13,4,168,0,0,32.8125,12.660377508919819,Bajo,1.2071370012480263,12833.833333333334,415.1666666666667,83.5,411,7181,5034,5170.4,22002720000,5074068333.333333,76.286,72.566875,3.25,7.901666666666666,42.57,316152.1533333333,4939090612.38
800037244,5,271,8278231614,30546980.125461254,8800000,116343868.42806812,45,4,113,97.7859778597786,67.8328704104316,41.69741697416974,25.345047217328172,Bajo,2.966152250033885,7794.666666666667,337.5,2.3333333333333335,1223,6990,4277,4594.8,13039175000,-928410000,62.25,64.84791666666666,3,5.428333333333334,31.631666666666668,35830.58666666667,722155971
800037979,5,3046,24372135625,8001357.723243598,2700000,41320152.20545966,92,4,470,19.89494418910046,25.00266981835327,15.430072225869992,5.83037175166012,Bajo,7.751412849098,9866.833333333334,496.8333333333333,57.166666666666664,637,6814,4964.8,4997.6,57497156666.666664,-466098333.3333333,81.05,55.160624999999996,6.8,10.88,53.505,85146.48333333334,11292135768.376667
800044320,5,218,2458643169,11278179.674311927,6000000,17414250.305759665,38,4,120,0.9174311926605505,1.024955565644345,55.04587155963303,11.109686688041869,Bajo,5.213314352095041,8298.666666666666,502.6666666666667,508.8333333333333,1337,6932,4280.2,4529.4,21005081666.666668,720271666.6666666,81.592,56.86333333333333,1,6.218333333333334,29.681666666666665,40181.91333333333,0
800044967,5,4933,27255605036,5525158.126089601,2137385,18911994.178056862,91,5,738,0,0,14.960470302047435,4.790162495986427,Bajo,6.830340131307372,8164,272.6666666666667,567.8333333333334,0,0,5291.4,5391.4,430830146666.6667,6841543333.333333,79.054,78.16,2,74.67666666666668,14.766666666666667,97.89833333333333,2030293567
800058016,5,19833,598098083241,30156712.713205263,11040867,252040257.79403874,147,4,5325,0,0,26.849190742701555,3.545100799735039,Bajo,24.32998363486019,10228.5,347,411.8333333333333,0,0,5012.8,5261.6,4986095038333.333,68063918333.333336,83.42,0,2.25,67.51,21.168333333333333,7.298333333333333,15563000397.223333
800064543,6,943,9811072603,10404106.683987275,5150000,16889567.948645964,43,4,251,22.481442205726403,17.558211591189874,26.617179215270415,8.198092876780885,Bajo,2.2887421663475345,10156.666666666666,345.8333333333333,177.33333333333334,0,0,5676.8,5618.8,744187875000,45706720000,80.3,0,3,70.49166666666667,19.746666666666666,13.446666666666667,30204407726.70667
800065395,5,495,2768986981,5593913.0929292925,3000000,7936535.352224228,65,4,131,100,100,26.464646464646464,10.663615991941214,Bajo,5.5071898195358955,7576.5,341,262.3333333333333,1454,7350,4459.2,4746,13629330000,397851666.6666667,67.794,67.54104166666667,1.6,5.761666666666667,27.55,269597.81,14970541638.97
800068653,5,470,2174751017,4627129.823404255,1599680,12692284.80660192,62,4,118,25.106382978723403,43.485868617023385,25.106382978723403,20.375401013436104,Bajo,1.7806900966490908,9837.333333333334,164.83333333333334,754.5,1018,6895,5281.2,5283.8,9607601666.666666,-1257253333.3333333,67.884,60.07666666666667,1.3333333333333333,4.725,29.231666666666666,163934.81833333333,0
800080586,4,1294,15073671135,11648895.776661515,5600000,19346396.93351656,69,3,377,100,100,29.134466769706336,4.872378582342431,Bajo,0,8199.833333333334,667.6666666666666,280.6666666666667,868,5570,4292.2,4687.2,46491855000,4000196666.6666665,66.79599999999999,51.333958333333335,4,9.221666666666668,54.55,126594.02166666667,5303500490
800084206,5,6708,136004041926,20274901.897137746,6997600,117680852.02750672,100,5,1785,0.01490757304710793,0.011029083979843425,26.610017889087658,7.3977746835541565,Bajo,23.34812429981248,10156.666666666666,345.8333333333333,177.33333333333334,0,0,5676.8,5618.8,744187875000,45706720000,80.3,0,3,70.49166666666667,19.746666666666666,13.446666666666667,30204407726.70667
800084362,5,6956,208362499694,29954355.90770558,9134685,223256203.42893413,85,4,1400,27.731454859114436,39.411672572847664,20.126509488211617,5.383060229353565,Bajo,32.11007171101524,8046.166666666667,154.33333333333334,336.1666666666667,466,7244,5333.6,5339.8,166022796666.66666,1478966666.6666667,68.894,55.05375,5,58.6,26.685,24669.309999999998,2258242178.085
800099124,5,144,1690959434,11742773.847222222,4185046.5,32103549.14659589,19,4,79,100,100,54.861111111111114,19.451700923278974,Bajo,3.638248682544156,7231.833333333333,517.6666666666666,128.66666666666666,928,7514,4553,4829.2,10721316666.666666,-102765000,66.414,66.60062500000001,1.6666666666666667,6.005,40.74166666666667,76548.14166666666,2378475375.02
800099860,6,5398,106222185573,19678063.277695443,4680000,80911290.8363278,109,5,891,0,0,16.506113375324194,6.849103919875307,Bajo,11.73784748306614,8424.5,275.8333333333333,53,700,7164,5049,5079,29531955000,56056666.666666664,76.764,72.46111111111111,4.333333333333333,11.036666666666667,52.32333333333333,38140.93166666667,634018075.62
800101022,4,1009,5974756637,5921463.46580773,3000000,14179417.8386577,60,4,318,50.64420218037661,68.2097674700654,31.516352824578792,5.161443973988058,Bajo,0.3550972868647272,6894.333333333333,303,173.83333333333334,785,7147,4369.4,4556.6,59592326666.666664,-10018020000,65.818,60.101875,11.4,11.133333333333333,43.72833333333333,639352.6833333333,9248897462.133333
800114286,5,162,2505051296,15463279.604938272,10000000,24429159.929637574,26,4,82,100,100,50.617283950617285,14.429101588560457,Bajo,0,11937,750.1666666666666,191.33333333333334,1112,6410,4377.4,4690.8,18206900000,1801213333.3333333,67.476,73.04055555555556,2.5,7.025,43.85166666666667,126326.26833333333,716042834
800116719,5,1872,21036654845,11237529.297542736,5516680,23387605.28601279,99,5,434,0.4273504273504274,0.23410490100666004,23.183760683760685,7.615145169513173,Bajo,7.079967741906684,9649.833333333334,332.3333333333333,105.66666666666667,845,6944,4658.2,4801.8,18420151666.666668,1155890000,73.622,67.385625,1.6666666666666667,8.361666666666666,46.485,37976.97,627866209
800119945,5,1459,21605057994,14808127.480466073,4200000,198300904.28422272,79,4,382,29.403701165181634,17.639016137139464,26.182316655243316,17.717244349850866,Bajo,0.052544772680092965,10421.5,585.1666666666666,41.166666666666664,1172,6865,4845.2,4904,27201755000,2666565000,70.152,73.52062500000001,3,11.28,55.25833333333333,51713.66666666667,5277860432.883333
800125276,6,235,12347613865,52543037.72340426,7542500,504879800.2014082,42,4,111,11.063829787234042,3.1567331491054853,47.23404255319149,36.64918582125922,Bajo,0.5794949367268323,7178.666666666667,283.8333333333333,337.3333333333333,909,8202,5124.2,4963.6,8842106666.666666,858536666.6666667,65.864,82.51361111111112,1.3333333333333333,3.4166666666666665,21.476666666666667,19007.525,1185707663.15
800125697,5,1290,9376152461,7268335.241085271,2696400,75123480.35579757,43,4,341,99.68992248062015,96.05797129966273,26.434108527131784,15.483847791024713,Bajo,0.3277116208114701,9172.833333333334,311,14.666666666666666,918,6470,4725,4857.6,15697408333.333332,542983333.3333334,73.062,73.03770833333334,3,7.82,36.156666666666666,57332.85333333333,276982501.6666667
800133887,5,262,1756924102,6705817.183206107,3103500,21109356.973355494,42,4,106,26.717557251908396,27.996775184543516,40.458015267175576,13.569051671011312,Bajo,3.679200996048867,9760.833333333334,395,368.6666666666667,1694,7146,4968.6,5040,11864120000,339553333.3333333,67.27,66.42208333333333,2.3333333333333335,4.44,32.01166666666666,38952.51833333333,270666191.24
800134339,7,677,4564702416,6742544.189069424,3000000,41935437.38175616,59,4,204,98.96602658788774,82.61772427444917,30.132939438700145,15.400857811492012,Bajo,3.418836375991119,13801.166666666666,392.6666666666667,0,558,6927,4817.6,4968.2,9504166666.666666,-504578333.3333333,74.096,62.99666666666667,2,6.568333333333333,31.031666666666666,65754.765,423658523.5566667
800138011,5,358,10965849883,30630865.594972067,9656690.5,98785462.22401656,47,4,224,69.27374301675978,62.35758790206302,62.56983240223464,21.00080943545873,Bajo,1.9784957328678612,9634.833333333334,487,221.16666666666666,1149,6940,4271.2,4604.6,26385615000,150228333.33333334,63.556,56.81375,5,10.435,52.303333333333335,31990.595,0
800138311,5,286,15355030945,53688919.38811189,19400000,112480324.66376513,34,5,113,15.384615384615385,16.5264168993832,39.51048951048951,25.8672028529119,Bajo,1.2815571993291774,10887.666666666666,519.3333333333334,258.1666666666667,1243,6766,4361.4,4637.4,63783840000,850570000,67.03,57.618125,4,10.955,60.62833333333333,109911.915,5442078516.025
800138968,5,1577,11689089120,7412231.528218135,1876911,29557533.95574928,64,4,181,0,0,11.477488902980342,17.011951632337265,Bajo,2.781799579381462,10116.166666666666,407.3333333333333,13.666666666666666,237,6936,5244.8,5489,78885048333.33333,2218575000,82.924,0,1,11.771666666666667,39.90166666666667,503.65166666666664,91292766
