nit_entidad,orden_entidad,num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_contratistas_dif_1,num_contratistas_dif_2,num_contratistas_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pnum_ganadoras_1,pnum_ganadoras_2,pnum_ganadoras_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3,inf_ingresos_m_1,inf_ingresos_m_2,inf_ingresos_m_3,inf_financiamiento_m_1,inf_financiamiento_m_2,inf_financiamiento_m_3,inf_regaliaspc_m_1,inf_regaliaspc_m_2,inf_regaliaspc_m_3,inf_nproyectos_m_1,inf_nproyectos_m_2,inf_nproyectos_m_3,inf_vproyectos_m_1,inf_vproyectos_m_2,inf_igpr_m_2,inf_igpr_m_3,inf_desempennofiscal_m_1,inf_desempennofiscal_m_2,inf_desempennofiscal_m_3,inf_peducacion_m_1,inf_peducacion_m_2,inf_peducacion_m_3,inf_psalud_m_1,inf_psalud_m_2,inf_psalud_m_3
800002468-7,5,80,104,112,409681906,472316679,617903507,5121023.825,4541506.528846154,5516995.598214285,3817300,3000000,3437521,4514431.843764984,3970455.206091438,4989611.658475568,16,38,40,4,4,4,41,49,43,1,0,1,51.24999999999999,47.11538461538461,38.392857142857146,0,0,0,0,0,0,12.37212297465785,Bajo,9407.5,9678,9140.5,171,190.5,128,72,169.5,180,852,6957,4856.5,5225,5270,4626,5328.5,5037,8388645000,7844630000,7601385000,-523850000,-845620000,1292275000,180958.85499999998,79129.5,0,0,2.5,1,742797474.85,0,75.84125,82.41428571428571,67.38,64.985,59.99,6.415,5.575,4.32,31.43,27.549999999999997,30.955
800003124-9,5,125,193,155,1408765429,1534668704,3068772167,11270123.432,7951651.316062177,19798530.10967742,6221544,5400000,7698600,32128015.26685189,9004956.568347,80998514.60607044,7,26,15,3,4,3,70,90,70,0,0,0,56.00000000000001,46.63212435233161,45.16129032258064,0,0,0,1,0,0,12.6411696916808,Bajo,7737,7962,7668,383,320.5,218.5,92.5,88,122,1094,7156,4829.5,4637,4681,4873,5048.5,4940,9194200000,9052880000,10535185000,683700000,376475000,-142870000,98313.86,0,121482.14,0,2.5,0,458181948,0,72.07600000000001,75.1525,66.385,61.705,63.1,8.165,5.865,4.355,33.010000000000005,32.5,36.525
800006850,5,2347,2584,2210,52346122311,56831801339,53726991171,22303418.1129101,21993731.168343652,24310855.733484164,5550000,4828200,8530208,143977086.79882765,188646151.4285334,112309864.51334155,63,78,46,4,4,4,849,912,880,0,1,0,36.173838943331916,35.294117647058826,39.81900452488688,1,1,1,1,1,1,5.055357812886682,Bajo,8744,9367,9426,346.5,323,282.5,188,413.5,137,176,6867,5030.5,5051,5106,5090,5294.5,5354,312723675000,370950365000,462499860000,80839965000,-22432230000,-11429905000,1720.32,0,0,2,0,1,0,0,55.75,59.48,77.015,77.75999999999999,78.98,68.93,68.95,69.15,14.485,15.2,15.965
800014918,6,815,1107,1056,145733657523,263192178952,214643471201,178814303.70920247,237752645.8464318,203260862.87973484,29906310,25722720,40161000,629103536.292897,2717864765.855345,620161627.726309,63,138,137,5,5,4,333,461,362,0,0,0,40.85889570552147,41.64408310749774,34.28030303030303,1,1,1,1,1,1,12.171062230817538,Bajo,9329,9387,9750,358.5,444.5,345,287,248,218.5,0,0,5120.5,5252.5,5418,5032,5373.5,5479,661607590000,867480370000,1057052440000,62910605000,12132830000,163102490000,6508.3,4065.12,4626.405,0,3.5,0,44674833366.29,726241181.5,48.425,46.38875,77.225,76.64,75.32,63.31,62.425,61.7,25.509999999999998,28.49,30.5
800025221,5,0,109,17,0,881579649,1091629364,0,8087886.688073395,64213492,0,5685600,5366400,0,8328433.050906586,187099835.7288348,0,9,4,0,3,3,0,53,17,0,1,1,0,48.62385321100918,100,0,0,0,0,0,0,23.569405572118097,Medio,7516,7715,8580,314.5,241.5,322.5,11.5,12.5,0,854,7411,4843.5,4954.5,4755,4804.5,5194.5,5021,9315045000,8571585000,8526810000,574495000,455340000,1418325000,88319.51999999999,45012.41,71442.785,0,3.5,2,394147159.41,0,67.01,77.94375,66.19,67.63,62.35,6.234999999999999,4.36,3.385,28.445,27.045,25.64
800026173,5,229,497,285,2320604215,3898734987,3794190429,10133642.860262008,7844537.197183099,13312948.87368421,5880444,4400000,12000000,13119092.23979659,10119839.016585516,11774434.362645987,38,51,48,4,4,4,136,180,139,1,1,1,59.388646288209614,36.21730382293762,48.771929824561404,1,1,1,1,1,1,5.257027175406433,Bajo,9589.5,9878.5,9181,350.5,486,350,134.5,104,97.5,1310,6929,4722.5,4718.5,4464,4623,4987,4742,21196335000,20340505000,11288180000,1703045000,654430000,8832195000,95703.43,51991.15,82481.015,2,6,1,0,1043500000,59.125,59.845,67.465,65.615,64.31,7.845,7.49,5.595,50.6,53.894999999999996,56.59
800029509,4,0,112,79,0,698966262,1120304485,0,6240770.196428572,14181069.430379746,0,5739654.5,6185000,0,4267787.699147737,23749445.96972003,0,24,24,0,3,3,0,58,44,0,1,1,0,51.78571428571429,55.69620253164557,0,0,0,0,0,0,16.937589477207126,Medio,12145.5,10539.5,9256,159,267.5,256,572.5,53.5,273.5,863,7415,4714.5,4782.5,4929,4864.5,5135.5,5349,11044975000,9641395000,11847955000,2562995000,-1193195000,1751705000,143509.765,79480.68,19640.35,2,2.5,1,197225221.05,0,65.08,69.28999999999999,65.31,67.27000000000001,62.88,4.640000000000001,3.585,2.59,26.48,26.95,26.95
800030924,5,904,846,1733,18100112815,18805394315,24371951720,20022248.689159293,22228598.481087472,14063445.88574726,11350000,12240000,6587000,51239395.74308409,44421806.12369203,48754772.809589095,32,53,103,4,3,4,436,439,622,0,0,0,48.23008849557522,51.89125295508275,35.891517599538375,1,0,0,1,0,0,4.108884057292853,Bajo,9208.5,9003,9117.5,176,392.5,439.5,177.5,125,139.5,358,6551,4772.5,4687,4775,4869,5060.5,5179,219423470000,273190345000,306666405000,56399745000,-18220495000,10462385000,168.765,0,0,0,2,1,0,0,0,0,85.33500000000001,80.41499999999999,80.34,37.03,66.47999999999999,66.96000000000001,35.085,19.915,20.54
800037021,5,263,1053,383,84145280283,85358396921,77948500785,319944031.49429655,81062105.33808167,203520889.7780679,59850991,1892624,50025700,990567814.5766598,483868503.650109,960599550.1766921,25,66,64,4,4,4,68,534,216,0,0,0,25.85551330798479,50.712250712250714,56.39686684073107,1,1,1,1,1,1,12.911423016417578,Bajo,10703,10720,10315,399,475,468,403.5,252.5,208,498,6801,4947.5,4887.5,5001,4894.5,5103,5222,54556130000,62705965000,75028195000,6362345000,-156755000,9700255000,50288.235,23742.08,32882.58,7,11,10,168157268894.11,6921842016.96,65.025,72.70625,78.08500000000001,75.32,76.29,11.28,10.59,7.18,54.555,60.82,66.97
800037202,4,0,278,234,0,2130021846,3418441811,0,7661949.086330935,14608725.688034188,0,4405000,7474944.5,0,27346912.85014901,73384397.80231884,0,8,7,0,3,3,0,113,97,0,0,0,0,40.647482014388494,41.452991452991455,0,1,1,0,1,1,12.660377508919819,Bajo,13266,13315,11920.5,401.5,491,353,100.5,70.5,79.5,411,7181,5060.5,5046.5,4956,5028,5269,5258,28011040000,15796275000,22200845000,4789465000,3093915000,7338825000,623943.7150000001,133059.855,191452.89,1,5,2,6540706358.52,3337474866.24,69.97,75.16375,77.045,75.72999999999999,75.88,8.64,8.055,7.01,39.045,40.765,47.900000000000006
