nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
800002468-7,5,30,7.6899999999999995,15.290000000000001,30.819999999999997,-11.32,21.48,-21.41,14.580000000000002,-12.049999999999999,25.669999999999998,137.5,5.26,0,0,19.509999999999998,-12.24,0,0,-8.067542213883671,-18.51311953352769,0,0,0,0,12.37212297465785,Bajo,2.88,11.4,0,135.42000000000002,0,7.59,0,15.190000000000001,0,79129.5,180958.85499999998,0,-6.49,0,61.419999999999995,0,-56.269999999999996,0,0,0,0,0,-3.55,0,-13.089999999999998,0,-12.34,0
800002468-7,5,30,7.6899999999999995,15.290000000000001,30.819999999999997,-11.32,21.48,-21.41,14.580000000000002,-12.049999999999999,25.669999999999998,137.5,5.26,0,0,19.509999999999998,-12.24,0,0,-8.067542213883671,-18.51311953352769,0,0,0,0,12.37212297465785,Bajo,2.88,11.4,0,135.42000000000002,0,7.59,0,15.190000000000001,0,0,0,79129.5,0,-3.1,0,-252.82,0,-100,0,-60,0,8.67,0,-7.6899999999999995,0,-22.509999999999998,0,12.36
800002468-7,5,30,7.6899999999999995,15.290000000000001,30.819999999999997,-11.32,21.48,-21.41,14.580000000000002,-12.049999999999999,25.669999999999998,137.5,5.26,0,0,19.509999999999998,-12.24,0,0,-8.067542213883671,-18.51311953352769,0,0,0,0,12.37212297465785,Bajo,-5.55,0,-32.81,0,6.1899999999999995,0,0.86,0,-5.47,79129.5,180958.85499999998,0,-6.49,0,61.419999999999995,0,-56.269999999999996,0,0,0,0,0,-3.55,0,-13.089999999999998,0,-12.34,0
800002468-7,5,30,7.6899999999999995,15.290000000000001,30.819999999999997,-11.32,21.48,-21.41,14.580000000000002,-12.049999999999999,25.669999999999998,137.5,5.26,0,0,19.509999999999998,-12.24,0,0,-8.067542213883671,-18.51311953352769,0,0,0,0,12.37212297465785,Bajo,-5.55,0,-32.81,0,6.1899999999999995,0,0.86,0,-5.47,0,0,79129.5,0,-3.1,0,-252.82,0,-100,0,-60,0,8.67,0,-7.6899999999999995,0,-22.509999999999998,0,12.36
800003124-9,5,54.400000000000006,-19.689999999999998,8.94,99.96000000000001,-29.439999999999998,148.99,-13.200000000000001,42.57,-71.97,799.49,271.43,-42.309999999999995,33.33,-25,28.57,-22.220000000000002,0,0,-16.728349370836426,-3.1541218637992974,0,0,0,0,12.6411696916808,Bajo,2.91,-16.32,0,-4.859999999999999,0,-3.9899999999999998,0,3.5999999999999996,0,0,98313.86,0,-1.54,0,-44.940000000000005,0,-100,0,0,0,0,0,-7.049999999999999,0,-28.17,0,-1.54,0
800003124-9,5,54.400000000000006,-19.689999999999998,8.94,99.96000000000001,-29.439999999999998,148.99,-13.200000000000001,42.57,-71.97,799.49,271.43,-42.309999999999995,33.33,-25,28.57,-22.220000000000002,0,0,-16.728349370836426,-3.1541218637992974,0,0,0,0,12.6411696916808,Bajo,2.91,-16.32,0,-4.859999999999999,0,-3.9899999999999998,0,3.5999999999999996,0,121482.14,0,0,0,16.37,0,-137.95,0,0,0,0,0,4.2700000000000005,0,2.26,0,-25.75,0,12.379999999999999
800003124-9,5,54.400000000000006,-19.689999999999998,8.94,99.96000000000001,-29.439999999999998,148.99,-13.200000000000001,42.57,-71.97,799.49,271.43,-42.309999999999995,33.33,-25,28.57,-22.220000000000002,0,0,-16.728349370836426,-3.1541218637992974,0,0,0,0,12.6411696916808,Bajo,-3.6900000000000004,0,-31.830000000000002,0,38.64,0,0.95,0,-2.15,0,98313.86,0,-1.54,0,-44.940000000000005,0,-100,0,0,0,0,0,-7.049999999999999,0,-28.17,0,-1.54,0
800003124-9,5,54.400000000000006,-19.689999999999998,8.94,99.96000000000001,-29.439999999999998,148.99,-13.200000000000001,42.57,-71.97,799.49,271.43,-42.309999999999995,33.33,-25,28.57,-22.220000000000002,0,0,-16.728349370836426,-3.1541218637992974,0,0,0,0,12.6411696916808,Bajo,-3.6900000000000004,0,-31.830000000000002,0,38.64,0,0.95,0,-2.15,121482.14,0,0,0,16.37,0,-137.95,0,0,0,0,0,4.2700000000000005,0,2.26,0,-25.75,0,12.379999999999999
800006850,5,10.100000000000001,-14.469999999999999,8.57,-5.46,-1.39,10.54,-13.01,76.67,31.03,-40.47,23.810000000000002,-41.03,0,0,7.42,-3.51,0,0,-2.431926834337972,12.82051282051282,1,1,1,1,5.055357812886682,Bajo,7.12,-6.78,0,119.95,0,0.41000000000000003,0,4.02,0,0,1720.32,0,18.62,24.68,-127.75000000000001,-49.05,-100,0,0,0,0,6.69,0.97,1.5699999999999998,0.03,0.29,4.9399999999999995,5.029999999999999
800006850,5,10.100000000000001,-14.469999999999999,8.57,-5.46,-1.39,10.54,-13.01,76.67,31.03,-40.47,23.810000000000002,-41.03,0,0,7.42,-3.51,0,0,-2.431926834337972,12.82051282051282,1,1,1,1,5.055357812886682,Bajo,0.63,0,-12.540000000000001,0,-66.86999999999999,0,1.09,0,1.1199999999999999,0,1720.32,0,18.62,24.68,-127.75000000000001,-49.05,-100,0,0,0,0,6.69,0.97,1.5699999999999998,0.03,0.29,4.9399999999999995,5.029999999999999
