codigo_entidad,ine_coberturaNeta_m,ine_tasaDesercion_m,ine_tasaRepitencia_m,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaCritica_m
1001,8660.833333333334,319.1666666666667,220.33333333333334,518,7021,5011,5151.2
5000,8885.333333333334,379.3333333333333,367.3333333333333,446,6797,4903,5140.8
5001,10228.5,347,411.8333333333333,NA,NA,5012.8,5261.6
5002,8436.666666666666,307.3333333333333,428.1666666666667,1015,6813,4851.2,5073
5004,8975,183.33333333333334,307.5,697,6941,4536,4835.8
5021,10647,227.5,299.8333333333333,863,7415,4784.6,5069.8
5030,7049.5,466.6666666666667,493.6666666666667,758,5941,4606.4,4955.8
5031,9044.833333333334,480.1666666666667,498.1666666666667,1041,6813,4615.8,4817
5034,7835.333333333333,433.8333333333333,481,985,6599,4792,5032.6
5036,6856.166666666667,301,285.3333333333333,975,6559,4659.2,5006
5038,9697,477,273.6666666666667,1336,7064,4212.4,4495.8
5040,9167.333333333334,434,386.5,1081,6607,4162.8,4522
5042,9785.166666666666,566.6666666666666,339.5,880,6863,4597.2,4899.6
5044,7599.166666666667,342.8333333333333,68.66666666666667,1530,6706,4621.4,4831
5045,6726.333333333333,479.8333333333333,172.33333333333334,544,6936,4610.8,4898.8
5051,7805.333333333333,318.8333333333333,438,1307,7410,4331.2,4507.8
5055,7654.166666666667,474.1666666666667,486.8333333333333,998,6901,4370.6,4684
5059,6838.833333333333,393,794.5,1781,7199,5004.6,5153.4
5079,7389.833333333333,310.3333333333333,337,563,7024,4697,4995.4
5086,9223.166666666666,356.3333333333333,469.5,720,7015,4588.4,4780.2
5088,8046.166666666667,353.8333333333333,208,206,6830,4919.6,5198.8
5091,7996.166666666667,562.8333333333334,476,1250,6815,4704.8,4913
5093,8787.666666666666,549.8333333333334,363.6666666666667,1519,6594,4339.8,4667.4
5101,8291.5,712.8333333333334,568,1060,6655,4906.8,5210
5107,8298.666666666666,502.6666666666667,508.8333333333333,1337,6932,4280.2,4529.4
5113,10057.333333333334,545.8333333333334,226.66666666666666,1106,6282,4322,4680.2
5120,7412.333333333333,592,362,1721,7354,4561.6,4776.8
5125,7794.666666666667,337.5,2.3333333333333335,1223,6990,4277,4594.8
5129,8307,329.3333333333333,391.8333333333333,287,6532,5035.8,5257.4
5134,8235.5,341,425.5,1515,6671,4560.2,4911.6
5138,7723.5,293,218.33333333333334,1091,6921,4326.2,4669.4
5142,7268.166666666667,263.8333333333333,106,1042,6749,4446,4760.4
5145,7521,358.5,330,810,7146,4542.6,4883.6
5147,8423.833333333334,399.1666666666667,232.66666666666666,774,6607,4721.8,4958.6
5148,8543.666666666666,229,442.1666666666667,465,6598,5205.4,5337.8
5150,9718.833333333334,248.83333333333334,404.8333333333333,674,7216,4919,5113.6
5154,8067.333333333333,402.6666666666667,476.5,834,7046,4837.8,5026.6
5172,7777.333333333333,597.5,503.6666666666667,954,6782,4614.2,4841.6
5190,8797,281.8333333333333,196.66666666666666,525,6878,4471.6,4750.4
5197,10176.5,391.5,468.5,1037,7045,4976,5059.2
5206,10064.333333333334,204.16666666666666,197.33333333333334,756,7162,4395,4680
5209,7881.833333333333,397,574.3333333333334,1627,6568,4466.4,4746.4
