codigo_entidad,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
5001,4986095038333.333,68063918333.333336,83.42,NA,2.25,67.51,21.168333333333333,7.298333333333333,15563000397.223333
5002,21834428333.333332,222201666.66666666,70.096,74.65333333333334,3,7.426666666666667,47.83,47988.90666666667,1432002636
5004,6018805000,-520931666.6666667,59.616,77.65,2,3.2399999999999998,18.965,241396.77000000002,NA
5021,10844775000,1040501666.6666666,65.608,67.185,2,3.605,26.793333333333333,80876.93166666667,98612610.525
5030,25416196666.666668,-462776666.6666667,75.858,66.605,2,10.375,47.516666666666666,59096.85166666666,549678340
5031,33470716666.666668,1489601666.6666667,71.19800000000001,81.96312499999999,2,8.735,49.06,96914.575,1794138680
5034,43701565000,757631666.6666667,67.442,68.92895833333333,3.5,8.993333333333334,61.24166666666667,34681.36666666667,486117784.5
5036,8461860000,-50601666.66666663,67.008,81.406875,1,5.22,30.836666666666666,57353.72,378777013
5038,16714141666.666666,56715000,63.687999999999995,76.48083333333334,4,6.641666666666667,36.92666666666666,91724.57166666667,833767219.15
5040,24066111666.666668,-312996666.6666667,69.606,67.46083333333334,2.5,7.286666666666667,47.98,80106.35,950407706.2
5042,40942281666.666664,4797558333.333333,74.784,43.74041666666667,3,8.7,49.15,213796.54833333334,1472903219.18
5044,11560291666.666666,1110443333.3333333,62.518,66.11,2,5.221666666666667,33.653333333333336,32140.676666666666,357031278.65
5045,161345540000,12611560000,73.908,61.59638888888889,1,66.56,17.785,5562.236666666667,2994542432
5051,40930693333.333336,-1389591666.6666667,67.862,71.25916666666667,1.75,12.336666666666666,50.473333333333336,65613.14666666667,8159081139.1
5055,11884826666.666666,-972365000,60.102,73.10833333333333,1.5,6.571666666666666,38.623333333333335,142284.41499999998,440735444.63
5059,7340861666.666667,-457660000,61.692,52.5125,3,3.845,27.123333333333335,19303.778333333332,72084029
5079,49506670000,6372041666.666667,75.314,56.965,NA,11.246666666666666,49.75833333333333,9787.906666666666,NA
5086,10100850000,702331666.6666666,66.438,68.351875,2.5,6.718333333333334,27.628333333333334,51970.035,151507283.5
5088,403741480000,-9385448333.333334,76.358,NA,NA,68.05833333333334,18.076666666666668,11.459999999999999,NA
5091,11696733333.333334,-15805000,61.716,74.73895833333333,2,6.091666666666667,41.99666666666667,74195.34166666666,304996644.5
5093,19212753333.333332,-161725000,63.858,56.636875,2.3333333333333335,7.418333333333333,48.443333333333335,33115.78,225993471
5101,28822851666.666668,1645750000,70.554,79.98708333333333,3,8.066666666666666,58.23166666666667,46135.683333333334,253733251.6
5107,21005081666.666668,720271666.6666666,81.592,56.86333333333333,1,6.218333333333334,29.681666666666665,40181.91333333333,NA
5113,13798093333.333334,-106663333.33333333,63.434,72.610625,1,5.528333333333333,26.983333333333334,106913.48,170519621.5
5120,30491105000,-1198520000,62.47,67.736875,2.6666666666666665,10.425,48.711666666666666,64863.555,3523322646.215
5125,13039175000,-928410000,62.25,64.84791666666666,3,5.428333333333334,31.631666666666668,35830.58666666667,722155971
5129,54327478333.333336,-2128141666.6666667,77.30199999999999,85.8075,NA,13.903333333333332,44.288333333333334,11502.275,NA
5134,14310646666.666666,-8336666.666666667,58.928,72.44708333333334,1.6666666666666667,6.36,25.325,73285.88666666667,291617902
5138,24180200000,1762113333.3333333,65.212,64.44437500000001,2.6666666666666665,7.965,39.5,215417.46166666667,1404494545.27
5142,7950696666.666667,710500000,62.372,74.47645833333334,2.25,4.21,30.006666666666668,118270.39333333333,100569753
5145,7173735000,-111458333.33333331,60.403999999999996,57.30479166666667,5,5.0633333333333335,36.33166666666666,7588.243333333334,93400267
5147,44827286666.666664,3913828333.3333335,72.404,68.65458333333333,2.75,12.721666666666668,50.56166666666667,45591.496666666666,2439848644.785
5148,46563973333.333336,2605605000,77.712,72.03958333333333,1.3333333333333333,14.006666666666666,47.10333333333333,30372.945,766910348
5150,10277226666.666666,132253333.33333333,66.464,67.27888888888889,2,6.058333333333334,28.813333333333333,30600.22666666667,157666092
5154,104092650000,6450401666.666667,77.172,75.26291666666667,6.333333333333333,10.476666666666667,59.515,100481.14666666667,7615220895.48
5172,62484235000,-627171666.6666666,74.092,61.20916666666667,1.75,11.141666666666666,51.68166666666667,92139.40000000001,2371671544.133333
5190,13995540000,1045726666.6666666,70.352,71.66708333333332,1,5.8,45.111666666666665,92634.79833333334,639576115.25
5197,20938038333.333332,-599908333.3333334,68.256,71.87958333333333,3.6666666666666665,7.413333333333333,46.038333333333334,74174.445,469654928.2
5206,9475463333.333334,70938333.33333333,66.738,75.56,2.3333333333333335,3.9416666666666664,35.41,121302.22333333333,173148838
5209,22348130000,896243333.3333334,67.414,94.21472222222222,1.3333333333333333,6.903333333333333,47.90166666666667,54258.86833333333,462137570
5212,63394771666.666664,3826088333.3333335,81.248,NA,NA,14.766666666666667,47.03,27.56,NA
5234,27305343333.333332,-2621053333.3333335,59.498,59.86875,1.25,9.26,43.885,50749.135,1489668364.93
5237,22383430000,834351666.6666666,75.17399999999999,66.59875,1.6666666666666667,8.551666666666666,33.83833333333333,53593.405,711746318.24
5240,15196445000,496370000,64.486,73.35895833333333,2.6,6.818333333333333,39.32333333333333,55319.38333333333,774332585
5250,63783840000,850570000,67.03,57.618125,4,10.955,60.62833333333333,109911.915,5442078516.025
5264,14962453333.333334,1175423333.3333333,69.302,75.471875,3.3333333333333335,8.486666666666666,31.101666666666667,77020.65666666666,360911056
5266,392225938333.3333,2955693333.3333335,83.47,NA,NA,68.90666666666667,12.648333333333333,45.230000000000004,NA
5282,17717450000,1638085000,61.438,69.90375,1.3333333333333333,9.911666666666667,41.678333333333335,26976.123333333333,360637901
5284,23925753333.333332,60661666.666666664,62.71,76.29555555555555,1.6666666666666667,8.966666666666667,50.57,28803.445,1163752374
5306,10398265000,-23836666.666666668,65.976,51.49729166666667,1.6666666666666667,5.615,25.465,368512.37166666664,352915122
5308,61654793333.33333,2522073333.3333335,81.298,NA,1,10.286666666666667,46.76,632.83,16474403285
5310,14479633333.333334,843748333.3333334,65.934,76.27583333333334,1.5,5.818333333333333,28.333333333333336,16538.31,1942535209
5313,15574970000,172191666.66666666,67.044,81.30194444444444,5,6.793333333333333,43.11666666666667,150488.01833333334,192102610.66666666
5315,12512748333.333334,2014806666.6666667,67.274,74.96777777777778,2,4.883333333333333,29.346666666666668,50521.25833333333,1985282554
5318,52073913333.333336,3255336666.6666665,84.13,74.26861111111111,3,10.805,43.031666666666666,27840.623333333333,778827489
5321,13497515000,-19283333.333333295,76.582,58.49520833333334,1,7.385,35.43,74479.60333333333,NA
5347,9366788333.333334,1043075000,61.800000000000004,83.01333333333334,2.5,4.74,32.60166666666667,62659.42166666667,902594767.52
5353,9607601666.666666,-1257253333.3333333,67.884,60.07666666666667,1.3333333333333333,4.725,29.231666666666666,163934.81833333333,0
5360,400878440000,20722336666.666668,82.182,NA,NA,70.395,15.935,0.11,NA
5361,30361886666.666668,4099981666.6666665,72.506,75.66888888888889,1.3333333333333333,9.303333333333333,46.99333333333333,16889.851666666666,2800167332
5364,16760481666.666666,703716666.6666666,68.85600000000001,74.23875,1.3333333333333333,6.945,47.79833333333333,56538.776666666665,93760347
5368,15706075000,-89496666.66666667,71.276,59.067499999999995,1,8.561666666666667,39.531666666666666,49281.346666666665,212779509.33333334
5376,55736310000,6195323333.333333,80.238,73.109375,3,15.408333333333333,41.64666666666667,21320.016666666666,1117215663.5
5380,78885048333.33333,2218575000,82.924,NA,1,11.771666666666667,39.90166666666667,503.65166666666664,91292766
5390,13761563333.333334,1190660000,71.828,69.133125,5,6.575,31.898333333333333,44522.613333333335,NA
5400,22681440000,2254825000,74.14,65.29374999999999,1.5,8.556666666666667,44.041666666666664,12725.468333333332,2300308894.92
5411,14312636666.666666,1130063333.3333333,65.532,63.56166666666667,2.5,7.321666666666666,42.41666666666667,116749.13500000001,4148328948
5425,16410848333.333334,-279343333.3333333,73.446,72.07555555555555,4.666666666666667,6.156666666666666,36.64666666666667,453079.315,2385654603.4
5440,54036378333.333336,4808293333.333333,78.17,88.543125,2.5,14.41,50.468333333333334,22469.875,746564414
5467,9257896666.666666,1039741666.6666666,65.22,71.37979166666666,3.5,4.785,36.29333333333334,42920.66166666667,304994544
5475,11367341666.666666,-164256666.66666666,63.602,68.59444444444445,1.3333333333333333,4.42,17.066666666666666,51902.253333333334,311166225
5480,24278071666.666668,1389225000,60.964,59.73458333333333,1.75,7.904999999999999,45.86833333333333,41387.945,522143522
5483,14215896666.666666,432006666.6666667,58.949999999999996,50.235625,2.75,5.618333333333333,41.20666666666666,16182.808333333332,647860657.5
5490,60681453333.333336,1657846666.6666667,71.878,65.57,4.666666666666667,12.065,54.03333333333333,70455.25,2248983102
5495,26385615000,150228333.33333334,63.556,56.81375,5,10.435,52.303333333333335,31990.595,NA
5501,7103880000,151111666.66666666,62.722,84.04888888888888,1.5,3.7649999999999997,19.668333333333333,51229.495,271331711
5541,21838331666.666668,1833381666.6666667,70.864,68.38875,2,7.0616666666666665,52.225,38101.416666666664,545428110
5543,15112050000,-84973333.33333333,63.194,72.93229166666666,1.6666666666666667,5.756666666666667,27.718333333333334,65819.57166666667,753146014
5576,14478443333.333334,679306666.6666666,65.578,60.88979166666667,1.5,5.303333333333334,42.49333333333333,466730.63666666666,663856293
5579,43734160000,7444536666.666667,69.80199999999999,56.48104166666666,1.6666666666666667,8.496666666666666,55.17666666666666,122675.61333333333,1409039939.5
5585,27359828333.333332,-664298333.3333334,73.41799999999999,73.82854166666667,14,7.383333333333333,37.325,437447.6616666667,5960278842.940001
5591,25374165000,5282010000,74.566,65.42999999999999,2.5,8.186666666666667,37.28666666666667,157733.495,2677343529.5
5604,45285470000,-2500550000,72.986,69.13645833333334,4,10.62,50.37833333333333,117467.81,2100345473
5607,43621011666.666664,-670533333.3333334,86.452,81.72874999999999,2,9.866666666666667,27.631666666666668,10161.053333333333,185917624
5615,356304350000,110219538333.33334,88.718,NA,NA,74.21833333333333,12.793333333333333,299.8333333333333,NA
5628,13402150000,252113333.33333334,62.814,71.66312500000001,1.5,6.075,35.11666666666667,50583.53333333333,136219903
5631,161367613333.33334,5199881666.666667,79.828,NA,1,75.17333333333333,10.675,11446.453333333333,9186302744
5642,20412991666.666668,346518333.3333333,64.89,82.46124999999999,2.3333333333333335,6.648333333333333,49.833333333333336,47646.365,264916077
5647,10379436666.666666,1396986666.6666667,61.937999999999995,51.6425,1.25,6.466666666666667,35.6,58844.886666666665,1701972399.015
5649,31351965000,-786465000,70.148,71.56958333333333,1,7.326666666666666,45.44833333333333,34583.805,491077554
5652,11864120000,339553333.3333333,67.27,66.42208333333333,2.3333333333333335,4.44,32.01166666666666,38952.51833333333,270666191.24
5656,20628633333.333332,980908333.3333334,77.42999999999999,68.39,1.5,8.196666666666667,38.42,50446.88333333333,448951455.94
5658,6947598333.333333,-91578333.33333333,61.244,76.55291666666668,1.75,4.493333333333333,29.976666666666667,126243.36166666666,397233713.8333333
5659,30048558333.333332,-1322403333.3333333,67.228,68.18,3.5,10.723333333333333,44.16166666666667,67400.325,1062609712.395
5660,16523993333.333334,400328333.3333333,68.88,66.38979166666667,3.75,7.416666666666666,45.78,39368.44,158139148.33333334
5664,27261786666.666668,1482506666.6666667,75.99,65.01729166666667,1,11.776666666666667,45.18666666666667,52667.165,821276865
5665,42076313333.333336,2159941666.6666665,66.744,72.42416666666666,1.75,12.513333333333334,54.21333333333333,71972.68833333334,4971728795.64
5667,22461448333.333332,3343091666.6666665,69.586,53.24875,2.5,6.8133333333333335,44.72833333333333,63888.48666666667,3548568454
5670,24114913333.333332,2261928333.3333335,68.86,67.51520833333333,2,8.485,49.64833333333333,88311.76833333334,808597074.9
5674,23681405000,1499958333.3333333,70.068,71.99583333333334,1.6666666666666667,7.961666666666667,49.69,52231.49333333333,567967070
5679,22770350000,1031498333.3333334,69.67399999999999,73.171875,2.25,8.5,49.445,19110.975,458312739
5686,41039903333.333336,-1679775000,74.842,54.84291666666667,2.6666666666666665,12.403333333333334,50.348333333333336,16945.66,968548103.5
5690,19526570000,5280695000,72.752,62.2875,1,8.843333333333334,40.01,27027.381666666664,269939578
