codigo_entidad,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3
1001,8601.5,8519.5,8861.5,316.5,340,301,252.5,259.5,149,518,7021,5008,4998.5,5042,4993.5,5245,5279
5000,9032,8704,8920,307.5,431,399.5,309,477,316,446,6797,4940,4875,4885,5011,5206,5270
5001,10547,10217,9921.5,269,369.5,402.5,152,673,410.5,0,0,5000,5017,5030,5107,5329.5,5435
5002,9225,8066,8019,229.5,401,291.5,472.5,488,324,1015,6813,4799,4878.5,4901,4934,5178.5,5140
5004,9311,9584,8030,48.5,365.5,136,93,264.5,565,697,6941,4390,4739.5,4421,4536.5,5169,4768
5021,12145.5,10539.5,9256,159,267.5,256,572.5,53.5,273.5,863,7415,4714.5,4782.5,4929,4864.5,5135.5,5349
5030,7207,6735,7206.5,412,533,455,607.5,393,480.5,758,5941,4618,4607,4582,4776,5053.5,5120
5031,9696.5,9237.5,8200.5,465,618.5,357,518.5,532,444,1041,6813,4744,4571,4449,4764.5,4876.5,4803
5034,7777.5,7669.5,8059,396.5,467,438,678.5,435,329.5,985,6599,4836,4791.5,4705,4904.5,5143.5,5067
5036,6552,6166.5,7850,439.5,348,115.5,401.5,435.5,19,975,6559,4748,4591.5,4617,4876,5058.5,5161
5038,8233.5,10728.5,10129,233,689.5,508.5,335.5,386,99.5,1336,7064,4311.5,4220,3999,4418.5,4597.5,4447
5040,9276.5,9485.5,8740,315.5,523.5,463,358,594,207.5,1081,6607,4324,4066,4034,4437.5,4573.5,4588
5042,9346,10258.5,9751,504,660,536,616,190,212.5,880,6863,4635,4630.5,4455,4777.5,5000.5,4942
5044,8565,7090,7142.5,373.5,464.5,190.5,169.5,7.5,29,1530,6706,4477,4788.5,4576,4619.5,4979,4958
5045,6303.5,5988,7887.5,416.5,534,489,328.5,105,83.5,544,6936,4586,4651,4580,4716.5,5044.5,4972
5051,7487.5,7279,8649.5,175.5,440.5,340.5,759.5,393,161.5,1307,7410,4516.5,4157.5,4308,4430.5,4506.5,4665
5055,8278.5,7226,7458,304,610,508.5,426,450,584.5,998,6901,4420,4331,4351,4518.5,4801.5,4780
5059,7620.5,6722.5,6173.5,296.5,536.5,346,743.5,1072.5,567.5,1781,7199,4972.5,4984.5,5109,4942,5252.5,5378
5079,7457,7103,7609.5,286.5,390.5,254,398,380,233,563,7024,4738,4654,4701,4858,5067,5127
5086,9164.5,8926.5,9578.5,337,441,291,739,355.5,314,720,7015,4629.5,4442.5,4798,4636,4818,4993
5088,8030,7931,8177.5,320.5,397.5,343.5,266.5,187.5,170,206,6830,4950,4893,4912,5079,5245,5346
5091,8813.5,8080,7095,460.5,722,506,569.5,258,600.5,1250,6815,4606.5,4804,4703,4611,5148.5,5046
5093,8863.5,8824.5,8675,498,613,538.5,584,272.5,234.5,1519,6594,4471,4249.5,4258,4509,4778,4763
5101,8684,7984,8206.5,605,791.5,742,733.5,544.5,426,1060,6655,4963,4912.5,4783,5046.5,5367,5223
5107,8729,8263,7904,655,548,305,350,793,383.5,1337,6932,4417,4169,4229,4454.5,4534.5,4669
5113,11129,9905.5,9137.5,481.5,683,473,71,409,200,1106,6282,4401,4235.5,4337,4580,4700,4841
5120,7817.5,6996.5,7423,390.5,722.5,663,278,435.5,372.5,1721,7354,4615.5,4631,4315,4647.5,4942.5,4704
5125,8057.5,7259.5,8067,449,317.5,246,7,0,0,1223,6990,4492,4034,4333,4577,4523,4774
5129,8336,7962.5,8622.5,251.5,388,348.5,546.5,339,290,287,6532,5068,4958.5,5126,5135.5,5295.5,5425
5134,9127,8182,7397.5,244.5,396.5,382,324,699,253.5,1515,6671,4703,4517.5,4360,4760,5115,4808
5138,8051,7361,7758.5,195.5,377.5,306,117.5,256,281.5,1091,6921,4392,4325.5,4196,4525.5,4770.5,4755
5142,7951.5,6713.5,7139.5,127.5,385,279,0,119,199,1042,6749,4587.5,4274.5,4506,4679.5,4769.5,4904
5145,7529,7186.5,7847.5,374.5,310.5,390.5,138.5,560,291.5,810,7146,4679.5,4372.5,4609,4821,4849.5,5077
5147,8660,8055,8556.5,347.5,425,425,212.5,194.5,291,774,6607,4742,4737,4651,4894,5038.5,4928
