codigo_entidad,inf_ingresos_m_1,inf_ingresos_m_2,inf_ingresos_m_3,inf_financiamiento_m_1,inf_financiamiento_m_2,inf_financiamiento_m_3,inf_regaliaspc_m_1,inf_regaliaspc_m_2,inf_regaliaspc_m_3,inf_nproyectos_m_1,inf_nproyectos_m_2,inf_nproyectos_m_3,inf_vproyectos_m_1,inf_vproyectos_m_2,inf_igpr_m_2,inf_igpr_m_3,inf_desempennofiscal_m_1,inf_desempennofiscal_m_2,inf_desempennofiscal_m_3,inf_peducacion_m_1,inf_peducacion_m_2,inf_peducacion_m_3,inf_psalud_m_1,inf_psalud_m_2,inf_psalud_m_3
5001,4760928270000,4738374845000,5458982000000,10925080000,-79641430000,272908105000,0,21.895,0,1.5,2,4,27346265343.67,19342735848,0,0,84.61500000000001,82.38,83.11,66.815,67.655,68.06,20.7,20.93,21.875
5002,18318495000,20578850000,26605940000,781335000,156695000,-271425000,54826.575000000004,19838.385000000002,69301.76,0,4,2,1432002636,0,71.09333333333333,78.21333333333334,70.975,68.52,71.49,9.5,7.215,5.5649999999999995,44.865,48.275,50.349999999999994
5004,5162395000,6641535000,6252485000,-704240000,-1470235000,611680000,314273.68,270919.44,138997.19,0,2,0,0,0,0,77.65,56.3,62.230000000000004,61.02,4.1,3.125,2.495,18.575,19.17,19.15
5021,11044975000,9641395000,11847955000,2562995000,-1193195000,1751705000,143509.765,79480.68,19640.35,2,2.5,1,197225221.05,0,65.08,69.28999999999999,65.31,67.27000000000001,62.88,4.640000000000001,3.585,2.59,26.48,26.95,26.95
5030,21480485000,23526915000,31241190000,-938125000,-483160000,32955000,93933.85999999999,40146.47,43210.225,1,1,4,549678340,0,60.29,72.92,74.94,75.98,77.45,10.969999999999999,11.15,9.004999999999999,46.05,47.019999999999996,49.48
5031,29579110000,31092225000,39740815000,2519275000,-820445000,2769975000,107749.36,65944.58,117049.78499999999,2,2,0,1794138680,0,74.93,91.694,73.19,69.53999999999999,70.53,10.760000000000002,9.024999999999999,6.42,47.775000000000006,47.335,52.07
5034,36618115000,41044945000,53441635000,2610235000,-320785000,-16555000,52110.86,25908.815000000002,26024.425,5,4,1,972235569,0,63.714,75.03875,69.78999999999999,66.16,65.31,10.440000000000001,9.41,7.13,59.129999999999995,59.805,64.78999999999999
5036,7135175000,7524445000,10725960000,48505000,-1146945000,946635000.0000001,77435.425,2897.21,91728.525,1,1,0,378777013,0,78.38,84.43375,65.785,68.27,66.93,5.63,5.54,4.49,32.81,28.965,30.735
5038,14290095000,15148345000,20703985000,273305000,-184525000,81365000,79529.035,18000.555,177644.125,0,5.5,1,833767219.15,0,67.195,86.2025,63.075,64.535,63.22,7.0600000000000005,7.234999999999999,5.63,35.239999999999995,35.36,40.18
5040,21358880000,23033715000,27805740000,2154820000,-1317655000,-1776155000,97716.375,37931.055,104671.62,0,2,3,1280150000,620665412.4,69.505,66.11571428571429,71.82,68.205,67.98,8.780000000000001,7.57,5.51,46.349999999999994,47.22,50.370000000000005
