codigo_entidad,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3
1001,-0.95,7.42,0,2.77,0,-0.19,0,5.04,0
1001,4.01,0,-11.469999999999999,0,-42.58,0,0.8699999999999999,0,0.65
5000,-3.63,40.160000000000004,0,54.37,0,-1.32,0,3.8899999999999997,0
5000,2.48,0,-7.31,0,-33.75,0,0.21,0,1.23
5001,-3.1300000000000003,37.36,0,342.76,0,0.33999999999999997,0,4.36,0
5001,-2.8899999999999997,0,8.93,0,-39,0,0.26,0,1.9800000000000002
5002,-12.559999999999999,74.72999999999999,0,3.2800000000000002,0,1.66,0,4.96,0
5002,-0.58,0,-27.310000000000002,0,-33.61,0,0.45999999999999996,0,-0.74
5004,2.93,653.61,0,184.41,0,7.960000000000001,0,13.94,0
5004,-16.21,0,-62.79,0,113.61000000000001,0,-6.72,0,-7.76
5021,-13.22,68.24,0,-90.66,0,1.44,0,5.57,0
5021,-12.18,0,-4.3,0,411.21,0,3.06,0,4.16
5030,-6.550000000000001,29.37,0,-35.31,0,-0.24,0,5.81,0
5030,7.000000000000001,0,-14.63,0,22.259999999999998,0,-0.54,0,1.32
5031,-4.73,33.01,0,2.6,0,-3.65,0,2.35,0
5031,-11.23,0,-42.28,0,-16.54,0,-2.67,0,-1.51
5034,-1.39,17.78,0,-35.89,0,-0.9199999999999999,0,4.87,0
5034,5.08,0,-6.21,0,-24.25,0,-1.81,0,-1.49
5036,-5.88,-20.82,0,8.469999999999999,0,-3.3000000000000003,0,3.74,0
5036,27.3,0,-66.81,0,-95.64,0,0.5599999999999999,0,2.03
5038,30.3,195.92000000000002,0,15.049999999999999,0,-2.12,0,4.05,0
5038,-5.59,0,-26.25,0,-74.22,0,-5.24,0,-3.27
5040,2.25,65.93,0,65.92,0,-5.970000000000001,0,3.06,0
5040,-7.86,0,-11.559999999999999,0,-65.07,0,-0.79,0,0.32
5042,9.76,30.95,0,-69.16,0,-0.1,0,4.67,0
5042,-4.95,0,-18.790000000000003,0,11.84,0,-3.7900000000000005,0,-1.17
5044,-17.22,24.36,0,-95.58,0,6.959999999999999,0,7.779999999999999,0
5044,0.74,0,-58.989999999999995,0,286.66999999999996,0,-4.44,0,-0.42
5045,-5.01,28.21,0,-68.04,0,1.4200000000000002,0,6.950000000000001,0
5045,31.72,0,-8.43,0,-20.48,0,-1.53,0,-1.44
5051,-2.78,151,0,-48.26,0,-7.95,0,1.72,0
5051,18.83,0,-22.7,0,-58.91,0,3.62,0,3.52
5055,-12.709999999999999,100.66,0,5.63,0,-2.01,0,6.260000000000001,0
5055,3.2099999999999995,0,-16.64,0,29.89,0,0.45999999999999996,0,-0.44999999999999996
5059,-11.78,80.94,0,44.25,0,0.24,0,6.279999999999999,0
5059,-8.17,0,-35.510000000000005,0,-47.089999999999996,0,2.5,0,2.39
5079,-4.75,36.3,0,-4.52,0,-1.77,0,4.3,0
5079,7.13,0,-34.96,0,-38.68,0,1.01,0,1.18
5086,-2.6,30.86,0,-51.89,0,-4.04,0,3.93,0
5086,7.3,0,-34.01,0,-11.67,0,8,0,3.63
5088,-1.23,24.02,0,-29.64,0,-1.15,0,3.27,0
5088,3.11,0,-13.58,0,-9.33,0,0.38999999999999996,0,1.9300000000000002
5091,-8.32,56.79,0,-54.7,0,4.29,0,11.66,0
5091,-12.19,0,-29.92,0,132.75,0,-2.1,0,-1.9900000000000002
5093,-0.44,23.09,0,-53.339999999999996,0,-4.95,0,5.970000000000001,0
5093,-1.69,0,-12.15,0,-13.94,0,0.2,0,-0.31
5101,-8.06,30.830000000000002,0,-25.77,0,-1.02,0,6.35,0
5101,2.79,0,-6.25,0,-21.759999999999998,0,-2.64,0,-2.68
5107,-5.34,-16.34,0,126.57000000000001,0,-5.609999999999999,0,1.7999999999999998,0
5107,-4.34,0,-44.34,0,-51.64,0,1.44,0,2.97
5113,-10.99,41.85,0,476.06,0,-3.7600000000000002,0,2.62,0
5113,-7.75,0,-30.75,0,-51.1,0,2.4,0,3
5120,-10.5,85.02,0,56.65,0,0.33999999999999997,0,6.35,0
5120,6.1,0,-8.24,0,-14.469999999999999,0,-6.819999999999999,0,-4.83
5125,-9.9,-29.29,0,-100,0,-10.2,0,-1.18,0
5125,11.12,0,-22.52,0,0,0,7.41,0,5.55
5129,-4.4799999999999995,54.269999999999996,0,-37.97,0,-2.16,0,3.1199999999999997,0
5129,8.290000000000001,0,-10.18,0,-14.45,0,3.38,0,2.45
5134,-10.35,62.17,0,115.74,0,-3.94,0,7.46,0
5134,-9.59,0,-3.66,0,-63.73,0,-3.49,0,-6
5138,-8.57,93.08999999999999,0,117.87,0,-1.51,0,5.41,0
5138,5.4,0,-18.94,0,9.959999999999999,0,-2.9899999999999998,0,-0.32
5142,-15.57,201.96,0,0,0,-6.819999999999999,0,1.92,0
5142,6.35,0,-27.529999999999998,0,67.23,0,5.42,0,2.82
