codigo_entidad,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
5001,21.895,0,0,-0.47000000000000003,0,-828.98,0,0,0,33.33,0,-29.270000000000003,0,-2.64,0,1.26,0,1.11,0
5001,0,0,21.895,0,15.21,0,-442.67,0,-100,0,100,0,0,0,0.89,0,0.6,0,4.52
5002,19838.385000000002,54826.575000000004,0,12.34,0,-79.95,0,-63.82,0,0,0,0,0,-3.46,0,-24.05,0,7.6,0
5002,69301.76,0,19838.385000000002,0,29.29,0,-273.22,0,249.33,0,-50,0,10.02,0,4.33,0,-22.869999999999997,0,4.3
5004,270919.44,314273.68,0,28.65,0,108.76999999999998,0,-13.8,0,0,0,0,0,10.530000000000001,0,-23.78,0,3.2,0
5004,138997.19,0,270919.44,0,-5.86,0,-141.6,0,-48.69,0,0,0,0,0,-1.94,0,-20.16,0,-0.1
5021,79480.68,143509.765,0,-12.709999999999999,0,-146.55,0,-44.62,0,25,0,0,0,3,0,-22.74,0,1.77,0
5021,19640.35,0,79480.68,0,22.89,0,-246.81000000000003,0,-75.29,0,-60,0,6.47,0,-6.529999999999999,0,-27.750000000000004,0,0
5030,40146.47,93933.85999999999,0,9.53,0,-48.5,0,-57.26,0,0,0,0,0,1.39,0,1.6400000000000001,0,2.11,0
5030,43210.225,0,40146.47,0,32.79,0,-106.82000000000001,0,7.630000000000001,0,300,0,20.95,0,1.9300000000000002,0,-19.24,0,5.2299999999999995
5031,65944.58,107749.36,0,5.12,0,-132.57000000000002,0,-38.800000000000004,0,0,0,0,0,-4.99,0,-16.12,0,-0.9199999999999999,0
5031,117049.78499999999,0,65944.58,0,27.82,0,-437.62,0,77.5,0,0,0,22.37,0,1.4200000000000002,0,-28.860000000000003,0,10
5034,25908.815000000002,52110.86,0,12.09,0,-112.29,0,-50.28,0,-20,0,0,0,-5.2,0,-9.87,0,1.1400000000000001,0
5034,26024.425,0,25908.815000000002,0,30.2,0,-94.84,0,0.44999999999999996,0,-75,0,17.77,0,-1.28,0,-24.23,0,8.34
5036,2897.21,77435.425,0,5.46,0,-2464.59,0,-96.26,0,0,0,0,0,3.7800000000000002,0,-1.6,0,-11.72,0
5036,91728.525,0,2897.21,0,42.55,0,-182.54,0,3066.1000000000004,0,0,0,7.720000000000001,0,-1.96,0,-18.95,0,6.11
5038,18000.555,79529.035,0,6.01,0,-167.52,0,-77.37,0,0,0,0,0,2.31,0,2.48,0,0.33999999999999997,0
5038,177644.125,0,18000.555,0,36.67,0,-144.09,0,886.88,0,-81.82000000000001,0,28.29,0,-2.04,0,-22.18,0,13.63
5040,37931.055,97716.375,0,7.84,0,-161.15,0,-61.18,0,0,0,-51.519999999999996,0,-5.029999999999999,0,-13.780000000000001,0,1.8800000000000001,0
5040,104671.62,0,37931.055,0,20.72,0,34.8,0,175.95000000000002,0,50,0,-4.88,0,-0.33,0,-27.21,0,6.67
5042,34393.2,541249.85,0,-12.479999999999999,0,104.52999999999999,0,-93.65,0,100,0,0,0,0.06999999999999999,0,-0.98,0,4.9399999999999995,0
5042,65746.595,0,34393.2,0,29.62,0,-55.120000000000005,0,91.16,0,0,0,-18.01,0,0.13999999999999999,0,-13.07,0,17.64
5044,13400.68,83021.35,0,14.829999999999998,0,-59.57,0,-83.86,0,150,0,0,0,-0.08,0,-16.580000000000002,0,-2.75,0
5044,0,0,13400.68,0,30.11,0,-2484.7400000000002,0,-100,0,0,0,0,0,6.3,0,-34.28,0,12.09
5045,11338.345,4153.7300000000005,0,13.76,0,-108.05,0,172.97,0,0,0,0,0,-0.26,0,-1.08,0,6.329999999999999,0
5045,1194.635,0,11338.345,0,11.14,0,-1479.8,0,-89.46,0,0,0,2.07,0,-1.77,0,-1.7500000000000002,0,9.969999999999999
5051,36031.595,76175.54000000001,0,-3.29,0,34.77,0,-52.7,0,0,0,0,0,-2.63,0,-13.900000000000002,0,-3.47,0
5051,84632.305,0,36031.595,0,29.470000000000002,0,-151.17000000000002,0,134.88,0,-50,0,-0.95,0,-0.51,0,-14.27,0,14.45
5055,23229.53,87851.245,0,8.38,0,-4388.33,0,-73.56,0,100,0,0,0,4.9399999999999995,0,-25.7,0,-4.569999999999999,0
5055,315772.47,0,23229.53,0,57.76,0,-5491.37,0,1259.3600000000001,0,0,0,18.33,0,2.82,0,-18.14,0,9.27
5059,0,57911.335,0,3.09,23.96,-255.69000000000003,52.2,-100,0,0,0,0,67.38,6.460000000000001,4.89,-6.260000000000001,-15.76,6.45,2.11
5079,9269.09,301.44,0,18.42,0,-76.44,0,2974.94,0,0,0,0,0,2.02,0,-0.12,0,-0.13999999999999999,0
5079,19793.19,0,9269.09,0,20.41,0,289.15999999999997,0,113.53999999999999,0,0,0,0,0,-0.01,0,-25.7,0,6.72
5086,24621.985,98027.305,0,6.25,0,-144.63,0,-74.88,0,0,0,0,0,1.7999999999999998,0,-9.59,0,-4.99,0
5086,33260.815,0,24621.985,0,59.86,0,-354.24,0,35.089999999999996,0,300,0,-2.96,0,-2.03,0,-23.5,0,1.22
5088,0,34.379999999999995,0,19.93,10.58,-164.35,69.56,-100,0,0,0,0,0,-0.54,-3.2099999999999995,1.09,-0.05,1.94,5.37
5091,42113.835,48304.185,0,15.76,0,275.53999999999996,0,-12.82,0,-75,0,263.51,0,-3.08,0,-15.49,0,-2.4299999999999997,0
5091,132168.005,0,42113.835,0,32.74,0,-222.63000000000002,0,213.83999999999997,0,100,0,33.52,0,6.52,0,-21.9,0,9.370000000000001
5093,0,40746.74,0,12.379999999999999,0,-57.25,0,-100,0,25,0,0,0,1.8900000000000001,0,-1.6500000000000001,0,1.5599999999999998,0
5093,58600.600000000006,0,0,0,22.98,0,-334.38,0,0,0,0,0,8.49,0,4.6,0,-25.56,0,3.93
5101,1664.735,64376.715,0,8.469999999999999,0,-233.75,0,-97.41,0,-12.5,0,555.83,0,5.42,0,-4.8,0,3.9800000000000004,0
5101,72365.6,0,1664.735,0,35.88,0,-1150.5,0,4246.97,0,-71.43,0,31.89,0,2.32,0,-21.5,0,2.91
5107,0,53172.07,0,23.549999999999997,0,-59.050000000000004,0,-100,0,0,0,0,0,3.8600000000000003,0,-23.25,0,-2.03,0
5107,67373.67,0,0,0,12.030000000000001,0,-925.3399999999999,0,0,0,0,0,27.500000000000004,0,-1.79,0,-36.74,0,7.6
5113,74726.16500000001,135802.19,0,-0.6,0,-26.090000000000003,0,-44.97,0,0,0,0,0,-6.17,0,-22.95,0,9.87,0
5113,110212.08499999999,0,74726.16500000001,0,39.17,0,-304.59000000000003,0,47.49,0,0,0,-7.630000000000001,0,8.21,0,-17.150000000000002,0,13.370000000000001
5120,34702.665,90100.6,0,11.26,0,-170.77,0,-61.480000000000004,0,0,0,-67.71000000000001,0,-21.91,0,-11.81,0,-3.8899999999999997,0
5120,69787.4,0,34702.665,0,21.77,0,244.89000000000001,0,101.1,0,-71.43,0,12.659999999999998,0,18.33,0,-28.549999999999997,0,3.47
5125,26141.415,51691.89,0,19.99,0,-325.38,0,-49.43,0,0,0,0,0,0.08,0,-7.13,0,0.49,0
5125,29658.455,0,26141.415,0,30.669999999999998,0,79.2,0,13.450000000000001,0,0,0,-7.000000000000001,0,-1.04,0,-26.900000000000002,0,1.9900000000000002
5129,11987.56,1266.29,0,3.64,0,70.87,0,846.67,0,0,0,0,0,-2.96,0,-5.91,0,-2.64,0
5129,21252.975,0,11987.56,0,29.17,0,2964.22,0,77.29,0,0,0,0,0,3.45,0,-13.780000000000001,0,6.140000000000001
5134,48204.165,95967.58499999999,0,29.24,0,-191.74,0,-49.769999999999996,0,200,0,0,0,-7.7,0,-38.75,0,-6.909999999999999,0
5134,75685.91,0,48204.165,0,16.43,0,-88.17,0,57.010000000000005,0,0,0,9.46,0,4.29,0,-21.33,0,9.21
