ruta_web,error_cuantia_proceso,error_cuantia_contrato,cuantia_contrato_real,error_adicion,valor_adicion_real,cuantia_proceso_real,proceso,uid
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-4045116,0,1,20000000,0,,1,consultoria,15-12-4045116-3745590
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-12-5283365 ,0,1,11950000,0,,1,consultoria,16-12-5283365-4820011
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-13-7271624,0,1,11964000,0,,1,consultoria,17-13-7271624-6631031
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-9-460215,0,0,,0,,1,consultoria,19-9-460215-9160539
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10487767,0,1,23137000,0,,1,consultoria,20-4-10487767-9610582
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6434666 ,0,1,27500000,0,,1,consultoria,17-12-6434666-5851053
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3184987 ,0,0,,0,,1,consultoria,14-12-3184987-2984147
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3568302,0,1,17300000,0,,1,consultoria,15-4-3568302-3358675
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9858978 ,0,0,,0,,1,consultoria,19-4-9858978-8985918
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-4-5671864,0,0,,0,,1,consultoria,16-4-5671864-5165882
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3769724,0,1,12500000,0,,1,consultoria,15-12-3769724-3521466
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3009768,0,0,,0,,1,consultoria,14-12-3009768-2820884
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6859678,0,1,10800850800,1,3300850800,1,consultoria,17-12-6859678-6235507
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9012259,0,1,18000000,0,,1,consultoria,19-4-9012259-8198213
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9625879,0,1,500000000,0,,1,consultoria,19-12-9625879-8760947
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9516980,0,1,230000000,0,,1,consultoria,19-11-9516980-8949677
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-7524266,0,0,,0,,1,consultoria,18-12-7524266-6837865
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9123885,0,1,26100000,0,,1,consultoria,19-12-9123885-8301513
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-7281159,0,0,,0,,1,consultoria,17-12-7281159-6613547
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-19-2966515 ,0,0,,0,,1,consultoria,14-19-2966515-5898553
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3248016 ,1,1,212500000,0,,1,consultoria,14-12-3248016-3045154
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8732047,1,1,312000000,0,,1,consultoria,18-12-8732047-7937501
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-181682,0,0,,0,,1,consultoria,17-1-181682-6539193
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-13-8252845,0,1,21810000,0,,1,consultoria,18-13-8252845-8118585
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-13-3256354,0,1,16000000,0,,1,consultoria,14-13-3256354-3071247
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7911392 ,1,1,51840000,0,,1,consultoria,18-4-7911392-7183453
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8033274 ,0,0,,0,,1,consultoria,18-4-8033274-7298470
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3216159,0,1,145000000,0,,1,consultoria,14-12-3216159-3013789
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-4-4641912,0,0,,1,117720000,1,consultoria,16-4-4641912-4271627
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-13-8752513,1,1,17500000,0,,1,consultoria,18-13-8752513-8145419
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10350122,1,1,14400000,0,,1,consultoria,20-4-10350122-9478660
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6799653,0,0,,0,,1,consultoria,17-12-6799653-6183790
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9152790,0,1,21600000,0,,1,consultoria,19-12-9152790-8327942
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-167138,1,0,,0,,1,consultoria,16-1-167138-9137983
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9978946,0,0,,0,,1,consultoria,19-4-9978946-9103939
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6428894,0,1,2000000,0,,1,consultoria,17-12-6428894-5845198
https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3349033 ,1,1,10080000,0,,1,consultoria,15-12-3349033-3156099
