codigo_departamento,departamento,codigo_municipio,municipio,valor_agregado,peso_relativo
5,Antioquia,5001,Medellín,"51,535",42.7
5,Antioquia,5002,Abejorral,225,0.2
5,Antioquia,5004,Abriaquí,19,0
5,Antioquia,5021,Alejandría,45,0
5,Antioquia,5030,Amagá,467,0.4
5,Antioquia,5031,Amalfi,656,0.5
5,Antioquia,5034,Andes,678,0.6
5,Antioquia,5036,Angelópolis,94,0.1
5,Antioquia,5038,Angostura,129,0.1
5,Antioquia,5040,Anorí,134,0.1
5,Antioquia,5042,Santa Fé de Antioquia,293,0.2
5,Antioquia,5044,Anzá,93,0.1
5,Antioquia,5045,Apartadó,"2,476",2.1
5,Antioquia,5051,Arboletes,327,0.3
5,Antioquia,5055,Argelia,74,0.1
5,Antioquia,5059,Armenia,46,0
5,Antioquia,5079,Barbosa,832,0.7
5,Antioquia,5086,Belmira,72,0.1
5,Antioquia,5088,Bello,"5,060",4.2
5,Antioquia,5091,Betania,151,0.1
5,Antioquia,5093,Betulia,225,0.2
5,Antioquia,5101,Ciudad Bolívar,338,0.3
5,Antioquia,5107,Briceño,73,0.1
5,Antioquia,5113,Buriticá,74,0.1
5,Antioquia,5120,Cáceres,431,0.4
5,Antioquia,5125,Caicedo,104,0.1
5,Antioquia,5129,Caldas,999,0.8
5,Antioquia,5134,Campamento,61,0.1
5,Antioquia,5138,Cañasgordas,145,0.1
5,Antioquia,5142,Caracolí,45,0
5,Antioquia,5145,Caramanta,62,0.1
5,Antioquia,5147,Carepa,"1,034",0.9
5,Antioquia,5148,El Carmen de Viboral,569,0.5
5,Antioquia,5150,Carolina,36,0
5,Antioquia,5154,Caucasia,"1,102",0.9
5,Antioquia,5172,Chigorodó,909,0.8
5,Antioquia,5190,Cisneros,91,0.1
5,Antioquia,5197,Cocorná,134,0.1
5,Antioquia,5206,Concepción,46,0
5,Antioquia,5209,Concordia,266,0.2
5,Antioquia,5212,Copacabana,"1,074",0.9
5,Antioquia,5234,Dabeiba,235,0.2
5,Antioquia,5237,Donmatías,410,0.3
5,Antioquia,5240,Ebéjico,202,0.2
5,Antioquia,5250,El Bagre,872,0.7
5,Antioquia,5264,Entrerríos,314,0.3
5,Antioquia,5266,Envigado,"8,754",7.3
5,Antioquia,5282,Fredonia,297,0.2
5,Antioquia,5284,Frontino,152,0.1
5,Antioquia,5306,Giraldo,43,0
5,Antioquia,5308,Girardota,"1,866",1.5
5,Antioquia,5310,Gómez Plata,300,0.2
5,Antioquia,5313,Granada,71,0.1
5,Antioquia,5315,Guadalupe,55,0
5,Antioquia,5318,Guarne,"1,170",1
5,Antioquia,5321,Guatapé,295,0.2
5,Antioquia,5347,Heliconia,60,0.1
5,Antioquia,5353,Hispania,58,0
5,Antioquia,5360,Itagüí,"7,247",6
5,Antioquia,5361,Ituango,190,0.2
5,Antioquia,5364,Jardín,177,0.1
5,Antioquia,5368,Jericó,166,0.1
5,Antioquia,5376,La Ceja,687,0.6
5,Antioquia,5380,La Estrella,"1,680",1.4
5,Antioquia,5390,La Pintada,144,0.1
5,Antioquia,5400,La Unión,212,0.2
5,Antioquia,5411,Liborina,93,0.1
5,Antioquia,5425,Maceo,82,0.1
5,Antioquia,5440,Marinilla,889,0.7
5,Antioquia,5467,Montebello,97,0.1
5,Antioquia,5475,Murindó,38,0
5,Antioquia,5480,Mutatá,196,0.2
5,Antioquia,5483,Nariño,126,0.1
5,Antioquia,5490,Necoclí,553,0.5
5,Antioquia,5495,Nechí,306,0.3
5,Antioquia,5501,Olaya,35,0
5,Antioquia,5541,Peñol,323,0.3
5,Antioquia,5543,Peque,87,0.1
5,Antioquia,5576,Pueblorrico,72,0.1
5,Antioquia,5579,Puerto Berrío,637,0.5
5,Antioquia,5585,Puerto Nare,408,0.3
5,Antioquia,5591,Puerto Triunfo,179,0.1
5,Antioquia,5604,Remedios,541,0.4
5,Antioquia,5607,Retiro,396,0.3
5,Antioquia,5615,Rionegro,"3,158",2.6
5,Antioquia,5628,Sabanalarga,85,0.1
5,Antioquia,5631,Sabaneta,"2,928",2.4
5,Antioquia,5642,Salgar,238,0.2
5,Antioquia,5647,San Andrés de Cuerquía,56,0
5,Antioquia,5649,San Carlos,692,0.6
5,Antioquia,5652,San Francisco,67,0.1
5,Antioquia,5656,San Jerónimo,154,0.1
5,Antioquia,5658,San José de la Montaña,33,0
5,Antioquia,5659,San Juan de Urabá,210,0.2
5,Antioquia,5660,San Luis,98,0.1
5,Antioquia,5664,San Pedro de los milagros,812,0.7
5,Antioquia,5665,San Pedro de Urabá,273,0.2
5,Antioquia,5667,San Rafael,173,0.1
5,Antioquia,5670,San Roque,170,0.1
5,Antioquia,5674,San Vicente Ferrer,195,0.2
5,Antioquia,5679,Santa Bárbara,254,0.2
5,Antioquia,5686,Santa Rosa de Osos,853,0.7
5,Antioquia,5690,Santo Domingo,152,0.1
5,Antioquia,5697,El Santuario,311,0.3
5,Antioquia,5736,Segovia,600,0.5
5,Antioquia,5756,Sonsón,729,0.6
5,Antioquia,5761,Sopetrán,146,0.1
5,Antioquia,5789,Támesis,195,0.2
5,Antioquia,5790,Tarazá,354,0.3
5,Antioquia,5792,Tarso,115,0.1
5,Antioquia,5809,Titiribí,138,0.1
5,Antioquia,5819,Toledo,72,0.1
5,Antioquia,5837,Turbo,"2,235",1.9
5,Antioquia,5842,Uramita,67,0.1
5,Antioquia,5847,Urrao,561,0.5
5,Antioquia,5854,Valdivia,166,0.1
5,Antioquia,5856,Valparaíso,111,0.1
5,Antioquia,5858,Vegachí,110,0.1
5,Antioquia,5861,Venecia,177,0.1
5,Antioquia,5873,Vigía del Fuerte,49,0
5,Antioquia,5885,Yalí,66,0.1
5,Antioquia,5887,Yarumal,542,0.4
5,Antioquia,5890,Yolombó,208,0.2
5,Antioquia,5893,Yondó,817,0.7
5,Antioquia,5895,Zaragoza,399,0.3
8,Atlántico,8001,Barranquilla,"24,430",66.4
8,Atlántico,8078,Baranoa,659,1.8
8,Atlántico,8137,Campo de la Cruz,98,0.3
8,Atlántico,8141,Candelaria,77,0.2
8,Atlántico,8296,Galapa,676,1.8
8,Atlántico,8372,Juan de Acosta,135,0.4
8,Atlántico,8421,Luruaco,168,0.5
8,Atlántico,8433,Malambo,"1,749",4.8
8,Atlántico,8436,Manatí,123,0.3
8,Atlántico,8520,Palmar de Varela,153,0.4
8,Atlántico,8549,Piojó,35,0.1
8,Atlántico,8558,Polonuevo,133,0.4
8,Atlántico,8560,Ponedera,163,0.4
8,Atlántico,8573,Puerto Colombia,414,1.1
8,Atlántico,8606,Repelón,175,0.5
8,Atlántico,8634,Sabanagrande,255,0.7
8,Atlántico,8638,Sabanalarga,715,1.9
8,Atlántico,8675,Santa Lucía,63,0.2
8,Atlántico,8685,Santo Tomás,190,0.5
8,Atlántico,8758,Soledad,"6,167",16.8
8,Atlántico,8770,Suan,52,0.1
8,Atlántico,8832,Tubará,93,0.3
8,Atlántico,8849,Usiacurí,58,0.2
11,"Bogotá, D. C.",11001,"Bogotá, D.C.","212,196",100
13,Bolívar,13001,Cartagena de Indias,"19,944",67.2
13,Bolívar,13006,Achí,215,0.7
13,Bolívar,13030,Altos del Rosario,75,0.3
13,Bolívar,13042,Arenal,143,0.5
13,Bolívar,13052,Arjona,599,2
13,Bolívar,13062,Arroyohondo,65,0.2
13,Bolívar,13074,Barranco de Loba,127,0.4
13,Bolívar,13140,Calamar,169,0.6
13,Bolívar,13160,Cantagallo,450,1.5
13,Bolívar,13188,Cicuco,101,0.3
13,Bolívar,13212,Córdoba,104,0.4
13,Bolívar,13222,Clemencia,116,0.4
13,Bolívar,13244,El Carmen de Bolívar,557,1.9
13,Bolívar,13248,El Guamo,82,0.3
13,Bolívar,13268,El Peñón,73,0.2
13,Bolívar,13300,Hatillo de Loba,77,0.3
13,Bolívar,13430,Magangué,"1,263",4.3
13,Bolívar,13433,Mahates,239,0.8
13,Bolívar,13440,Margarita,74,0.2
13,Bolívar,13442,María La Baja,482,1.6
13,Bolívar,13458,Montecristo,134,0.5
13,Bolívar,13468,Mompós,333,1.1
13,Bolívar,13473,Morales,194,0.7
13,Bolívar,13490,Norosí,99,0.3
13,Bolívar,13549,Pinillos,167,0.6
13,Bolívar,13580,Regidor,86,0.3
13,Bolívar,13600,Río Viejo,135,0.5
13,Bolívar,13620,San Cristóbal,38,0.1
13,Bolívar,13647,San Estanislao,114,0.4
13,Bolívar,13650,San Fernando,80,0.3
13,Bolívar,13654,San Jacinto,193,0.7
13,Bolívar,13655,San Jacinto del Cauca,111,0.4
13,Bolívar,13657,San Juan Nepomuceno,271,0.9
13,Bolívar,13667,San Martín de Loba,132,0.4
13,Bolívar,13670,San Pablo,361,1.2
13,Bolívar,13673,Santa Catalina,116,0.4
13,Bolívar,13683,Santa Rosa,146,0.5
13,Bolívar,13688,Santa Rosa del Sur,324,1.1
13,Bolívar,13744,Simití,337,1.1
13,Bolívar,13760,Soplaviento,52,0.2
13,Bolívar,13780,Talaigua Nuevo,111,0.4
13,Bolívar,13810,Tiquisio,146,0.5
13,Bolívar,13836,Turbaco,659,2.2
13,Bolívar,13838,Turbaná,116,0.4
13,Bolívar,13873,Villanueva,168,0.6
13,Bolívar,13894,Zambrano,101,0.3
15,Boyacá,15001,Tunja,"3,332",14.5
15,Boyacá,15022,Almeida,17,0.1
15,Boyacá,15047,Aquitania,314,1.4
15,Boyacá,15051,Arcabuco,119,0.5
15,Boyacá,15087,Belén,100,0.4
15,Boyacá,15090,Berbeo,22,0.1
15,Boyacá,15092,Betéitiva,18,0.1
15,Boyacá,15097,Boavita,58,0.3
15,Boyacá,15104,Boyacá,123,0.5
15,Boyacá,15106,Briceño,37,0.2
15,Boyacá,15109,Buenavista,58,0.3
15,Boyacá,15114,Busbanzá,10,0
15,Boyacá,15131,Caldas,34,0.1
15,Boyacá,15135,Campohermoso,36,0.2
15,Boyacá,15162,Cerinza,30,0.1
15,Boyacá,15172,Chinavita,35,0.2
15,Boyacá,15176,Chiquinquirá,896,3.9
15,Boyacá,15180,Chiscas,36,0.2
15,Boyacá,15183,Chita,76,0.3
15,Boyacá,15185,Chitaraque,67,0.3
15,Boyacá,15187,Chivatá,42,0.2
15,Boyacá,15189,Ciénega,57,0.3
15,Boyacá,15204,Cómbita,149,0.6
15,Boyacá,15212,Coper,39,0.2
15,Boyacá,15215,Corrales,53,0.2
15,Boyacá,15218,Covarachía,29,0.1
15,Boyacá,15223,Cubará,60,0.3
15,Boyacá,15224,Cucaita,66,0.3
15,Boyacá,15226,Cuítiva,20,0.1
15,Boyacá,15232,Chíquiza,93,0.4
15,Boyacá,15236,Chivor,18,0.1
15,Boyacá,15238,Duitama,"2,024",8.8
15,Boyacá,15244,El Cocuy,52,0.2
15,Boyacá,15248,El Espino,35,0.2
15,Boyacá,15272,Firavitoba,63,0.3
15,Boyacá,15276,Floresta,32,0.1
15,Boyacá,15293,Gachantivá,27,0.1
15,Boyacá,15296,Gámeza,62,0.3
15,Boyacá,15299,Garagoa,165,0.7
15,Boyacá,15317,Guacamayas,15,0.1
15,Boyacá,15322,Guateque,119,0.5
15,Boyacá,15325,Guayatá,57,0.2
15,Boyacá,15332,Güicán de la Sierra,51,0.2
15,Boyacá,15362,Iza,25,0.1
15,Boyacá,15367,Jenesano,89,0.4
15,Boyacá,15368,Jericó,46,0.2
15,Boyacá,15377,Labranzagrande,38,0.2
15,Boyacá,15380,La Capilla,35,0.2
15,Boyacá,15401,La Victoria,28,0.1
15,Boyacá,15403,La Uvita,33,0.1
15,Boyacá,15425,Macanal,47,0.2
15,Boyacá,15442,Maripí,75,0.3
15,Boyacá,15455,Miraflores,110,0.5
15,Boyacá,15464,Mongua,53,0.2
15,Boyacá,15466,Monguí,39,0.2
15,Boyacá,15469,Moniquirá,292,1.3
15,Boyacá,15476,Motavita,93,0.4
15,Boyacá,15480,Muzo,88,0.4
15,Boyacá,15491,Nobsa,"1,346",5.9
15,Boyacá,15494,Nuevo Colón,90,0.4
15,Boyacá,15500,Oicatá,31,0.1
15,Boyacá,15507,Otanche,88,0.4
15,Boyacá,15511,Pachavita,38,0.2
15,Boyacá,15514,Páez,42,0.2
15,Boyacá,15516,Paipa,557,2.4
15,Boyacá,15518,Pajarito,24,0.1
15,Boyacá,15522,Panqueba,16,0.1
15,Boyacá,15531,Pauna,106,0.5
15,Boyacá,15533,Paya,20,0.1
15,Boyacá,15537,Paz de río,64,0.3
15,Boyacá,15542,Pesca,63,0.3
15,Boyacá,15550,Pisba,13,0.1
15,Boyacá,15572,Puerto Boyacá,"2,055",8.9
15,Boyacá,15580,Quípama,75,0.3
15,Boyacá,15599,Ramiriquí,104,0.5
15,Boyacá,15600,Ráquira,142,0.6
15,Boyacá,15621,Rondón,29,0.1
15,Boyacá,15632,Saboyá,203,0.9
15,Boyacá,15638,Sáchica,84,0.4
15,Boyacá,15646,Samacá,334,1.5
15,Boyacá,15660,San Eduardo,21,0.1
15,Boyacá,15664,San José de Pare,57,0.2
15,Boyacá,15667,San Luis de Gaceno,57,0.2
15,Boyacá,15673,San Mateo,38,0.2
15,Boyacá,15676,San Miguel de Sema,43,0.2
15,Boyacá,15681,San Pablo de Borbur,78,0.3
15,Boyacá,15686,Santana,78,0.3
15,Boyacá,15690,Santa María,546,2.4
15,Boyacá,15693,Santa Rosa de Viterbo,104,0.5
15,Boyacá,15696,Santa Sofía,59,0.3
15,Boyacá,15720,Sativanorte,22,0.1
15,Boyacá,15723,Sativasur,27,0.1
15,Boyacá,15740,Siachoque,149,0.7
15,Boyacá,15753,Soatá,71,0.3
15,Boyacá,15755,Socotá,141,0.6
15,Boyacá,15757,Socha,137,0.6
15,Boyacá,15759,Sogamoso,"2,675",11.6
15,Boyacá,15761,Somondoco,38,0.2
15,Boyacá,15762,Sora,29,0.1
15,Boyacá,15763,Sotaquirá,94,0.4
15,Boyacá,15764,Soracá,133,0.6
15,Boyacá,15774,Susacón,24,0.1
15,Boyacá,15776,Sutamarchán,79,0.3
15,Boyacá,15778,Sutatenza,58,0.3
15,Boyacá,15790,Tasco,78,0.3
15,Boyacá,15798,Tenza,57,0.2
15,Boyacá,15804,Tibaná,133,0.6
15,Boyacá,15806,Tibasosa,681,3
15,Boyacá,15808,Tinjacá,34,0.1
15,Boyacá,15810,Tipacoque,27,0.1
15,Boyacá,15814,Toca,177,0.8
15,Boyacá,15816,Togüí,56,0.2
15,Boyacá,15820,Tópaga,57,0.2
15,Boyacá,15822,Tota,68,0.3
15,Boyacá,15832,Tununguá,65,0.3
