codigo_entidad,valor,anno,indicador
5660,11557,2014,ine_coberturaNeta
5659,9120,2014,ine_coberturaNeta
5658,7982,2014,ine_coberturaNeta
5656,9395,2014,ine_coberturaNeta
5652,10651,2014,ine_coberturaNeta
5649,9621,2014,ine_coberturaNeta
5647,10989,2014,ine_coberturaNeta
5642,7986,2014,ine_coberturaNeta
5631,12139,2014,ine_coberturaNeta
5628,8900,2014,ine_coberturaNeta
5615,8627,2014,ine_coberturaNeta
5607,11407,2014,ine_coberturaNeta
5604,10147,2014,ine_coberturaNeta
5591,8375,2014,ine_coberturaNeta
5585,7346,2014,ine_coberturaNeta
5579,7877,2014,ine_coberturaNeta
5576,9190,2014,ine_coberturaNeta
5543,7045,2014,ine_coberturaNeta
5541,9041,2014,ine_coberturaNeta
5501,7415,2014,ine_coberturaNeta
5495,10129,2014,ine_coberturaNeta
5490,9061,2014,ine_coberturaNeta
5483,5824,2014,ine_coberturaNeta
5480,9484,2014,ine_coberturaNeta
5475,11053,2014,ine_coberturaNeta
5467,9030,2014,ine_coberturaNeta
5440,8829,2014,ine_coberturaNeta
5425,13122,2014,ine_coberturaNeta
5411,10529,2014,ine_coberturaNeta
5400,9421,2014,ine_coberturaNeta
5390,11424,2014,ine_coberturaNeta
5380,9700,2014,ine_coberturaNeta
5376,9344,2014,ine_coberturaNeta
5368,9102,2014,ine_coberturaNeta
5364,8997,2014,ine_coberturaNeta
5361,9632,2014,ine_coberturaNeta
5360,7362,2014,ine_coberturaNeta
5353,10474,2014,ine_coberturaNeta
5347,7745,2014,ine_coberturaNeta
5321,11705,2014,ine_coberturaNeta
5318,6533,2014,ine_coberturaNeta
5315,10073,2014,ine_coberturaNeta
5313,9406,2014,ine_coberturaNeta
5310,6552,2014,ine_coberturaNeta
5308,7018,2014,ine_coberturaNeta
5306,12821,2014,ine_coberturaNeta
5284,11371,2014,ine_coberturaNeta
5282,8163,2014,ine_coberturaNeta
5266,7034,2014,ine_coberturaNeta
5264,9390,2014,ine_coberturaNeta
5250,11709,2014,ine_coberturaNeta
5240,7862,2014,ine_coberturaNeta
5237,7937,2014,ine_coberturaNeta
5234,8620,2014,ine_coberturaNeta
5212,10089,2014,ine_coberturaNeta
5209,7722,2014,ine_coberturaNeta
5206,12604,2014,ine_coberturaNeta
5197,10294,2014,ine_coberturaNeta
5190,9656,2014,ine_coberturaNeta
5172,7901,2014,ine_coberturaNeta
5154,7875,2014,ine_coberturaNeta
5150,10950,2014,ine_coberturaNeta
5148,8576,2014,ine_coberturaNeta
5147,8486,2014,ine_coberturaNeta
5895,10069,2014,ine_coberturaNeta
5809,6299,2014,ine_coberturaNeta
5792,6482,2014,ine_coberturaNeta
5790,7690,2014,ine_coberturaNeta
5789,9942,2014,ine_coberturaNeta
5761,9068,2014,ine_coberturaNeta
5756,9242,2014,ine_coberturaNeta
5736,8301,2014,ine_coberturaNeta
5697,11558,2014,ine_coberturaNeta
5690,10438,2014,ine_coberturaNeta
5686,9884,2014,ine_coberturaNeta
5679,9119,2014,ine_coberturaNeta
5674,10079,2014,ine_coberturaNeta
5670,10129,2014,ine_coberturaNeta
5667,10443,2014,ine_coberturaNeta
5665,11763,2014,ine_coberturaNeta
5664,8599,2014,ine_coberturaNeta
5861,9260,2014,ine_coberturaNeta
5858,12179,2014,ine_coberturaNeta
5856,7382,2014,ine_coberturaNeta
5854,6310,2014,ine_coberturaNeta
5847,6325,2014,ine_coberturaNeta
5842,7783,2014,ine_coberturaNeta
5837,9171,2014,ine_coberturaNeta
5819,8732,2014,ine_coberturaNeta
5890,8405,2014,ine_coberturaNeta
5887,8264,2014,ine_coberturaNeta
5885,6328,2014,ine_coberturaNeta
5873,18937,2014,ine_coberturaNeta
5893,9045,2014,ine_coberturaNeta
5145,7574,2014,ine_coberturaNeta
5142,8067,2014,ine_coberturaNeta
5138,8053,2014,ine_coberturaNeta
5134,9537,2014,ine_coberturaNeta
5129,8470,2014,ine_coberturaNeta
5125,7980,2014,ine_coberturaNeta
5120,8002,2014,ine_coberturaNeta
5113,10789,2014,ine_coberturaNeta
5107,8945,2014,ine_coberturaNeta
5101,8779,2014,ine_coberturaNeta
5093,8907,2014,ine_coberturaNeta
5091,8970,2014,ine_coberturaNeta
5088,7933,2014,ine_coberturaNeta
5086,9393,2014,ine_coberturaNeta
5079,7625,2014,ine_coberturaNeta
5059,7830,2014,ine_coberturaNeta
5055,8246,2014,ine_coberturaNeta
5051,7593,2014,ine_coberturaNeta
5045,6395,2014,ine_coberturaNeta
5044,8446,2014,ine_coberturaNeta
5042,9329,2014,ine_coberturaNeta
5040,9157,2014,ine_coberturaNeta
5038,8236,2014,ine_coberturaNeta
5036,6710,2014,ine_coberturaNeta
5034,7867,2014,ine_coberturaNeta
5031,9755,2014,ine_coberturaNeta
5030,7306,2014,ine_coberturaNeta
5021,12145,2014,ine_coberturaNeta
5004,9572,2014,ine_coberturaNeta
5002,9361,2014,ine_coberturaNeta
5001,10573,2014,ine_coberturaNeta
5000,9085,2014,ine_coberturaNeta
1001,8622,2014,ine_coberturaNeta
8758,6904,2014,ine_coberturaNeta
8685,8828,2014,ine_coberturaNeta
8675,7688,2014,ine_coberturaNeta
8638,8101,2014,ine_coberturaNeta
8634,9875,2014,ine_coberturaNeta
8606,8655,2014,ine_coberturaNeta
8573,23443,2014,ine_coberturaNeta
8560,8255,2014,ine_coberturaNeta
8558,9651,2014,ine_coberturaNeta
8549,8188,2014,ine_coberturaNeta
8520,9970,2014,ine_coberturaNeta
8436,11395,2014,ine_coberturaNeta
8433,8231,2014,ine_coberturaNeta
8421,9275,2014,ine_coberturaNeta
8372,9473,2014,ine_coberturaNeta
8296,8844,2014,ine_coberturaNeta
8141,8650,2014,ine_coberturaNeta
8137,8555,2014,ine_coberturaNeta
8078,9625,2014,ine_coberturaNeta
8001,9007,2014,ine_coberturaNeta
8000,8558,2014,ine_coberturaNeta
8849,7857,2014,ine_coberturaNeta
8832,8642,2014,ine_coberturaNeta
8770,10198,2014,ine_coberturaNeta
11001,8038,2014,ine_coberturaNeta
13052,8086,2014,ine_coberturaNeta
13042,3368,2014,ine_coberturaNeta
