codigo_entidad,indicador,valor,anno,mes
5001,Ingresos totales,5347402040000,2014,12
5002,Ingresos totales,17245580000,2014,12
5004,Ingresos totales,5200860000,2014,12
5021,Ingresos totales,9154250000,2014,12
5030,Ingresos totales,20408140000,2014,12
5031,Ingresos totales,30403580000,2014,12
5034,Ingresos totales,37082380000,2014,12
5036,Ingresos totales,7017520000,2014,12
5038,Ingresos totales,14619770000,2014,12
5040,Ingresos totales,19838870000,2014,12
5042,Ingresos totales,41948670000,2014,12
5044,Ingresos totales,10387020000,2014,12
5045,Ingresos totales,136822489999.99998,2014,12
5051,Ingresos totales,33024030000,2014,12
5055,Ingresos totales,9859140000,2014,12
5059,Ingresos totales,6772220000,2014,12
5079,Ingresos totales,45754610000,2014,12
5086,Ingresos totales,7936470000,2014,12
5088,Ingresos totales,324184150000,2014,12
5091,Ingresos totales,9101740000,2014,12
5093,Ingresos totales,15577700000,2014,12
5101,Ingresos totales,24252680000,2014,12
5107,Ingresos totales,14049440000,2014,12
5113,Ingresos totales,11375520000,2014,12
5120,Ingresos totales,25692170000,2014,12
5125,Ingresos totales,10043990000,2014,12
5129,Ingresos totales,43179440000,2014,12
5134,Ingresos totales,10953880000,2014,12
5138,Ingresos totales,23019640000,2014,12
5142,Ingresos totales,6969060000,2014,12
5145,Ingresos totales,5464410000,2014,12
5147,Ingresos totales,35419440000,2014,12
5148,Ingresos totales,35218120000,2014,12
5150,Ingresos totales,9140130000,2014,12
5154,Ingresos totales,92878920000,2014,12
5172,Ingresos totales,56175740000,2014,12
5190,Ingresos totales,13473250000,2014,12
5197,Ingresos totales,17463890000,2014,12
5206,Ingresos totales,8603920000,2014,12
5209,Ingresos totales,18700830000,2014,12
5212,Ingresos totales,56083040000,2014,12
5234,Ingresos totales,23088820000,2014,12
5237,Ingresos totales,19189430000,2014,12
5240,Ingresos totales,10596520000,2014,12
5250,Ingresos totales,56129410000,2014,12
5264,Ingresos totales,12436770000,2014,12
5266,Ingresos totales,283117960000,2014,12
5282,Ingresos totales,14815930000,2014,12
5284,Ingresos totales,18015360000,2014,12
5306,Ingresos totales,7405530000,2014,12
5308,Ingresos totales,43395760000,2014,12
5310,Ingresos totales,11208230000,2014,12
5313,Ingresos totales,11579230000,2014,12
5315,Ingresos totales,11655790000,2014,12
5318,Ingresos totales,38626420000,2014,12
5321,Ingresos totales,12400650000,2014,12
5347,Ingresos totales,10001210000,2014,12
5353,Ingresos totales,9020490000,2014,12
5360,Ingresos totales,332564780000,2014,12
5361,Ingresos totales,26073870000,2014,12
5364,Ingresos totales,13313420000,2014,12
5368,Ingresos totales,13388250000,2014,12
5376,Ingresos totales,35382750000,2014,12
5380,Ingresos totales,48436930000,2014,12
5390,Ingresos totales,10830360000,2014,12
5400,Ingresos totales,18293440000,2014,12
5411,Ingresos totales,11011840000,2014,12
5425,Ingresos totales,12012960000,2014,12
5440,Ingresos totales,39857170000,2014,12
5467,Ingresos totales,9736290000,2014,12
5475,Ingresos totales,12574500000,2014,12
5480,Ingresos totales,6892230000,2014,12
5483,Ingresos totales,11271860000,2014,12
5490,Ingresos totales,49191750000,2014,12
5495,Ingresos totales,17134430000,2014,12
5501,Ingresos totales,6567160000,2014,12
5541,Ingresos totales,18135910000,2014,12
5543,Ingresos totales,11493600000,2014,12
5576,Ingresos totales,9745010000,2014,12
5579,Ingresos totales,29225650000,2014,12
5585,Ingresos totales,25121920000,2014,12
5591,Ingresos totales,22643980000,2014,12
