parents,info,ids
,Desempeño fiscal,Desempeño fiscal
,Inversión por sectores,Inversión por sectores
,Operaciones efectivas de caja,Operaciones efectivas de caja
,Recursos propios,Recursos propios
,Resumen recursos,Resumen recursos
,SGP_Distribución asignaciones SGP por sectores,SGP_Distribución asignaciones SGP por sectores
,SGP_Distribución porcentual de asignaciones SGP por sectores,SGP_Distribución porcentual de asignaciones SGP por sectores
,SGP_Porcentaje de ejecución presupuestal por sector,SGP_Porcentaje de ejecución presupuestal por sector
,SGR - Asignación presupuestal,SGR_Asignación presupuestal
,SGR - Cantidad y monto de proyectos de regalías,SGR_Cantidad y monto de proyectos de regalías
,SGR - IGPR,SGR_IGPR
,SGR - Saldos,SGR_Saldos
Desempeño fiscal,Indicador de desempeño fiscal,Desempeño fiscal - Indicador de desempeño fiscal
Desempeño fiscal - Indicador de desempeño fiscal,% de ingresos corrientes destinados a funcionamiento,Indicador de desempeño fiscal - % de ingresos corrientes destinados a funcionamiento
Desempeño fiscal - Indicador de desempeño fiscal,% de ingresos corrientes que corresponden a recursos propios,Indicador de desempeño fiscal - % de ingresos corrientes que corresponden a recursos propios
Desempeño fiscal - Indicador de desempeño fiscal,% de ingresos que corresponden a transferencias,Indicador de desempeño fiscal - % de ingresos que corresponden a transferencias
Desempeño fiscal - Indicador de desempeño fiscal,% del gasto total destinado a inversión,Indicador de desempeño fiscal - % del gasto total destinado a inversión
Desempeño fiscal - Indicador de desempeño fiscal,Capacidad de ahorro,Indicador de desempeño fiscal - Capacidad de ahorro
Desempeño fiscal - Indicador de desempeño fiscal,Respaldo de la deuda,Indicador de desempeño fiscal - Respaldo de la deuda
Inversión por sectores,Educación,Inversión por sectores - Educación
Inversión por sectores,Salud,Inversión por sectores - Salud
Operaciones efectivas de caja - Financiamiento,Credito interno y externo,Financiamiento - Credito interno y externo
Operaciones efectivas de caja,Déficit o ahorro corriente,Operaciones efectivas de caja - Déficit o ahorro corriente
Operaciones efectivas de caja,Déficit o superávit total,Operaciones efectivas de caja - Déficit o superávit total
Operaciones efectivas de caja,Financiamiento,Operaciones efectivas de caja - Financiamiento
Gastos totales - Gastos corrientes,Funcionamiento,Gastos corrientes - Funcionamiento
