class,term,estimate,penalty
Alto,(Intercept),-1.0098612031815537,1e-4
Alto,num_contratos,0.18007965413310761,1e-4
Alto,val_contratos,-0.11021739928234578,1e-4
Alto,val_contratos_media,-0.04905703370737823,1e-4
Alto,val_contratos_median,0,1e-4
Alto,val_contratos_desv,0.15033901471932082,1e-4
Alto,num_familias_dif,0.06159891787406424,1e-4
Alto,num_grupos_dif,0.0680016536734324,1e-4
Alto,num_entidades_dif,-6.704205884107679,1e-4
Alto,num_annos_activo,-0.08724395471509158,1e-4
Alto,num_municipios_dif,-0.26649034893599577,1e-4
Alto,pnum_entidades,-1.2456475975046706,1e-4
Alto,adicion,0.12574547815017176,1e-4
Alto,cont_cerrada,0,1e-4
Bajo,(Intercept),-0.556702941100486,1e-4
Bajo,num_contratos,-0.4557733739631058,1e-4
Bajo,val_contratos,0.06574627284389584,1e-4
Bajo,val_contratos_media,1.3828537219179389,1e-4
Bajo,val_contratos_median,0.011335421866979013,1e-4
Bajo,val_contratos_desv,-7.189415623138898,1e-4
Bajo,num_familias_dif,-0.4243461837035414,1e-4
Bajo,num_grupos_dif,-0.055663404484451756,1e-4
Bajo,num_entidades_dif,6.200931480561738,1e-4
Bajo,num_annos_activo,0.31499548742816996,1e-4
Bajo,num_municipios_dif,0.41518339748641325,1e-4
Bajo,pnum_entidades,0.6007263496356953,1e-4
Bajo,adicion,-0.11155882863155714,1e-4
Bajo,cont_cerrada,0,1e-4
Medio,(Intercept),1.5665641442820397,1e-4
Medio,num_contratos,0,1e-4
Medio,val_contratos,0,1e-4
Medio,val_contratos_media,0,1e-4
Medio,val_contratos_median,-0.17042230779206174,1e-4
Medio,val_contratos_desv,0,1e-4
Medio,num_familias_dif,0,1e-4
Medio,num_grupos_dif,0,1e-4
Medio,num_entidades_dif,0,1e-4
Medio,num_annos_activo,0,1e-4
Medio,num_municipios_dif,0,1e-4
Medio,pnum_entidades,0,1e-4
Medio,adicion,0,1e-4
Medio,cont_cerrada,-0.007919643318948111,1e-4
